a1t,a2t,a3t,a4t_a,a4t_b,a5t,a6t_a,a6t_b,a7t
sol,luna,perro,No,por que las pelotas no cantan y tu mama no es una pelota.,pues que grita mucho y tal vez al hablar grita.,perro,por que el perro tiene muchos pelos.,pues que siempre esta brillando y siempre se refleja siempre sobresale
nino,la nina,mascota,No,las pelotas no hablan,que el nino es un nino que grita mucho,una mascota,porque puede que sea un perro o gato con pelos,una pelota de plata es una pelota de plata
antorcha,La canica,perro,No,porque es un objeto y no habla,que el hermano grita como una pelota que esta botando,la bola de pelo del gato,porque la bola de pelos del gato es redonda como una pelota,quiere hablar de una canica
abuelo,papa,perro,Si,por que puede ser una persona que canta demasiado,es alguien que grita o habla demasiado,un perro,por que los perros tienen pelos,por que mi padre es alguien fuerte como la plata
no,sin embargo,perro,No,porque las pelotas no cantan,que siempre grita,un gato,pq esta llena de pelos,que es muy dura
sol,la luna,perro,No,por que el texto es una metafora. por lo tanto se refieren a cosas comunes y no es posible.,de que su hermano o es un quejumbroso o es un lloron,algun otro animal,"por que al referirse a la familia, por lo que una pelota de pelos seria un animal",la luna ( por que brilla)
sol,luna,gatos,No,por que las pelotas son objetos,que se la pasa gritando,una enredadera de pelos,por que hay mucho pelo en un lugar,por que la luna es una bola brillante
Mechero,Collar,Hamster,Si,Puede ser una bocina en forma de pelota,Tiene sobrepeso,Mi gato,Porque es un gato obeso,Mi collar tiene forma de pelota y esta hecha de plata
sol,luna,mascota,No,porque no cantan,que todo el dia esta hablando y grtando,un coco,porque los cocos tienen pelos,pues porque la luna tiene un ligero color plateado
planeta Jupiter,La Luna,Gato,Si,Porque puede ser una persona gorda y que cante,Que es un nino gordo que grita por todo o su tono de voz es fuerte/alto,Un perro,Porque puede estar gordo,La luna tiene forma de pelota y es color plata
Sol,La Luna,perro,No,No tiene sentido,Porque grita demasiado,mi gato,tienen mucho pelaje,La luna es color plata o gris
que,ella,mi novia,Si,si,si,si,si,si
sol,el aluminio,perro,No,es muy ilogico,que grita mucho,un animal,tienen pelos,aluminio
sol,la luna,gato,No,porque las pelotas no cantan,que el hermano siempre esta gritando entonces es un conjunto de gritos.,un perro,porque tiene pelos,"por que la luna parece estar 
hecha de plata"
vida,la tierra,Cabello,No,pelotas no canta,solo grita,mis pies,tiene mucha pelo mis pies,un premio
sol,la luna,perro,No,las pelotas no hablan,que grita mucho,una persona peluda,por que tienen mucho pelo,la luna por que suena lirico
SOL,MUY FUERTE,SOMBRERO,No,NO SE ENTIENDE,QUE ME HERMANO GRITA MUCHO,MI CABEZA,PORQUE TIENE PELO,S
Papa,Familia,personalidad,No,porque no hay una oracion concreta con esa palabra en ese texto,Mi hermano es un griton,es genuina,porque si lees la oracion completa con la palabra que quieres puede haber infinitas respuestas,"algo que tu quieres proteger, que puede hacer dano o que puede darte valor."
sol,la luna,cabeza,No,porque las pelotas no hablan,que su hermano grita o hace mucho ruido,una marrana de pelos,porque es una bola echa de pelos,la luna porque es de forma esferica y se parece a la plata
mike,don,cabeza,No,porque no canta,que grita mucho,un nepe,porque ahi crecen pelos,una pelota de color gris
ninja rojo,ninja gris,cabeza,No,no tienen boca,por que grita mucho,mi gato,por que tiene pelos,que es muy valiosa
Meteorito,la comida,gato,No,Porque las pelotas no cantan,que grita mucho,un gato o un oso o un animal peludo,porque tiene muchos pelos,porque la comida vale mucho
Sol,Luna,cabeza,No,porque las pelotas no cantan.,Que siempre esta gritando.,mi perro,porque esta lleno de pelos.,"es la Luna, asi se le llama a veces."
Senor,Pablo,Hermanita,No,"porque por logica las pelotas no saben cantar, a menos que el texto se refiera a la pelota como una persona.",Que o se mueve mucho porque es una pelota o que es muy ruidoso.,La cabeza o un nudo en la cabeza.,La cabeza esta llena de pelos y los nudos de la cabeza son echos por pelos pero son como pelotas.,Porque en la vida real es mi hermano gemelo y tendria sentido que lo mencionara suponiendo que yo escribiera ese texto.
sol,la luna,cabeza,No,por que las pelotas no cantan,que su hermano esta chiquito y grita mucho,lo que vomitan los gatos,por que es,es la luna
El es muy atractivo,Es muy fuerte,sombrero,No,porque no se entiende,que mi hermano grita mucho,mi cabeza,porque tiene pelo,Alguien que es muy fuerte
sol,hierro,gato,No,porque en verdad no tiene sentido,no se,un gato muy gordo,porque es peludo,no se
horno,Papa,gato,Si,Significa que su mama canta con frecuencia,Significa que es una nino muy chillon y que normalmente se desespera y grita,Quiza una arana,Porque son peludas,Mi papa es una pelota de plata porque el es el que genera mas plata (dinero)
ninja rojo,el ninja gris,estambre,No,porque las pelotas no cantan,que tu hermano grita mucho y esta gordo,mi cabeza,porque tengo cabello y es redonda,el ninja gris se hace bolita y se convierte en una bola plateada
sol,luna,perro,Si,es como si hablaras de una persona en lugar de pelotas,que su hermano es muy griton,un gato o un mapache,porque tienen pelo. Son peludos,lo puse como la luna porque la luna es una bola gris (pelota de plata)
sol,la luna,gato,No,las pelotas ni hablan pero es metafora,que grita mucho,lo que vomitan los gatos,pues por que son puros pelos,la luna por que es redonda como una pelota y es del mismo color que la plata
sol,no se,cabello,No,por que las pelotas no cantan,quiere decir que su hermano es un nino que grita,el cabello,tiene pelos,no se
ser humano,La canica,gato,No,porque las pelotas no emiten ruido,que grita en exceso,un perro,porque tiene pelos,porque las canicas pueden ser de metales
pelota,Mi pelota,pelota,No,porque las pelotas no cantan,mi hermano es alguien que no para de gritar y hablar,"una persona que dice muchas cosas, muchas mentiras podria ser?","porque igual y a pelos se refiere a muchas cosas, yo creo que es lo mas probable.","una persona u objeto muy dificil de vencer o romper, alguien de terminar"
Sol,La luna,perro,No,Porque las pelotas no cantan,Que su hermanito es un griton y llora todo el dia como la llorona,Un gato muy gordo como garfield,Porque tiene forma y pelos,La luna tiene color de plata y cuando esta llena tiene forma de pelota
meteoro,canica,cabeza,No,por que las pelotas no cantan,alguien que grita,perro,porque es como bola de pelos,canica por que unas canicas son de plata.
Deporte,La escuela,Tiempo,No,Las pelotas no estan vivas por lo que no pueden cantar,Que tu hermano grita mucho,Tener descontrol en tu vida,Porque una pelota de pelos es mucho desastre acumulado.,Algo que te sirva
furia,alegria,mente,Si,se puede interpretar de diversas maneras una pelota que canta podria referirse a una persona abundante de felicidad,el hermano representa a un infante en plena etapa de inocencia y escandalo,mi cabeza,porque hasta la fecha cuento con cabello (hablando en sentido literal),mi alegria es como la plata: reluciente
sol,iman,perro,No,porque una pelota no canta,que tu hermano grita mucho,un animal,porque los animales estan repletos de pelo,"es un iman
"
llama,no se,no se,Si,una pelota que puede hacer sonidos,que grita mucho,un perro,tiene muchas pelos,no se que puede ser
asteroide,moneda,perro,Si,porque puede ser que pelota tenga diferentes significados,porque no deja de gritar,mi cabeza,porque es redonda y tiene pelo,pues el dinero es plata
El Calor,La Roca,Cabello,Si,es una metafora de algo valioso,que hace mucho escandalo y no se puede quedar quieto,un o alguien que es un desastre total,puedes decir que eres una pelota de pelos por que estas todo enredado,que eres un sol y que eres muy bonito
incendio,la medalla,cabeza,Si,se refiere al ser o persona,es un ser que grita mucho,un animal,por que tiene pelos,medalla por que una medalla de plata tiene un forma circular y es de plata
padre,hermana,perro o gato,Si,Porque muchas mamas quiere cantar,Que esta muy irritanto,un animal con pelo que se duermen como una pelota,porque duermen asi,que esta tarquilo/a
meteorito,la bala,gato,No,"una pelota es un objeto inanimado, no puede producir una melodia ya que carece de cuerdas vocales",que su hermano es gordito y redondo y esta constantemente gritando,"el vomito de un gato
",porque cuando vomitan producen una,ciertas balas son redondas y las balas creadas en los cuentos ficticios son de plata
vida,vida,vida,No,una pelota no cantan,es una machina a gritar,tu perro,es una expression,lol
horno,Armadura,perro,Si,"El contexto te dice que la mama y todo lo demas son pelotas. (""pelotas"" sustituye a humanos"")",Su hermano grita mucho,Un gato,El gato tambien tiene pelos,La armadura tiene forma de humano asi que se me hizo algo razonable ponerlo
sol,perla,cabeza,No,una pelota no puede cantar,mi hermano grita mucho,mi perro,tiene pelos,es redonda y tiene color plata
gato,laura,cama,Si,seria muy divertido que una pelota cantara,que nunca deja de hablar,una pelota desinflada o tambien podria ser algo divertido,pues la misma palabra te lo dice depende de como lo tomes o lo veas,que es una pelota rica en cuestion de dinero
Senor,El nino,Cabeza,No,Nunca e visto una pelota cantar,Que es un nino gordito que se la pasa gritando,Un animal,Por que tienen muchos pelos,Pues es una pelota que esta echa de plata
sol,el dinero,perro,No,"porque un pelota no tiene lenguaje,ni puede hablar",que los ninos son demasiados inquietos y ruidosos,un gato,por el gato tiene mucho pelo y lo deja en muchas partes,el dinero es algo valioso que se cuida y brilla como plata
pelota,balon,gato,No,"por que un objeto, que no puede hablar , ni caminar por si solo",que su hermanito grita mucho,un gato,por que los gatos tienen muchos pelos,valor
aro,la foca,cabeza,Si,da otro sentido de expresar lo que quiere decir en el poema,que su hermando es un nino travieso,el rabo de un conejo,porque en una parte de su cuerpo que tiene en forma de pelota y esponjosa,que es una pelota que es muy valiosa y que representa varias cosas
Sol,La luna,gato,Si,"Esta describriendo a su madre, y su madre esta cantando.",Que su hermano grita mucho.,Un perro o un jardin.,"El perro por que tiene mucho pelo; Un jardin por que esta lleno de pasto y es lo que lo cubre, por lo tanto, seria como su ""pelaje"".","La luna es brillante, y cuando es luna llena parece una pelota."
circulo,EL SOL,papa,Si,por que se puede decir que canta cuando se desinfla,es decir que tu hermanito es un griton,un animal,por que puede ser un cuyo y es una bola de pelos,que es algo redondo pero de plata
sol,la luna,cabeza,No,por que las pelotas no cantan,que siempre esta llorando o gritando,un perro,por que son muy peludos,por que es como color gris y la plata es gris
balon,plato,cabeza,No,porque las pelotas no cantan,que es un dolor de cabeza,perro,porque tiene pelo,por que el plato es redondo
invalida x sistema,invalida x sistema,invalida x sistema,invalida x sistema,vchvgdfjdbh,invalida x sistema,invalida x sistema,invalida x sistema,invalida x sistema
hombre,la moneda,perro,No,por que las pelotas no cantan,que todo el tiempo grita mucho,mi perro,por que esta muy peludo,por que no se me ocurrio nada mas
tio,la moneda,perro,No,por que las pelotas no cantan,que siempre hace berrinche y grita para tener lo que quiere,"gato , perro , raton .",por que tiene mucho pelos,que es algo pesado que no es una persona.
Circulo,El,circulo,Si,es interesante,Que es un nino muy inquieto,Un animal,Por que dice que es una pelita de pelos y hay un animal que tiene muchos pelos.,Que es algo que vale mucho
abuelo,padre,hermana,Si,quiere decir que a su mama le gusta cantar,quiere decir que su hermanito grita mucho,tu maestro,es buena onda,que vale mucho
metiorito,una medalla,la cabeza,Si,con esa frase puedes cambiar la palabra para que no se escuche tan mal,que mi hermano le encanta cantar,objetos que tienen pelos a su al rededor,asi se le pueden decir para que no se escuche mal,es un objeto que puede ser de plata o tiene valor para unas personas
sol,el balon,cabeza,Si,por que al rabotar hace sonido,que grita mucho todo el tiempo,nido de pajaros,por que es redonda,puede ser el balon de oro que les dan al mejor jugador
sol,elsol,cabeza,Si,tienesonido,esunaternura,mi cabesa,tiene cadello,un tesoro
el sol,bolitas de himan,cabeza,Si,Su mama esta gordita y canta,por que esta gordito y es muy griton,pompones,por que son bolitas llenas de peluche o pelo,bolitas de himan que se unen a la plata
Jardin,Mi familia,Perro,No,Por que las pelotas no cantan.,Por que son muy ruidosos.,"Un perro, un peluche o otra cosa.",Por que son peludos.,La plata es valiosa por lo tanto quizas es algo importante
SOL,MONEDA,MOLOTE,No,POR QUE LAS PELOTAS NO TIENEN SONIDO,QUE GRITA MUCHO,ADORNOS PARA MOCHILAS,POR QUE ESTAN HECHAS DE HILO-ALGODON,PODRIA SER POR QUE LA MONEDA TIENE VALOR
Balon,La bola,cabello,No,Pues por que solo las pelotas suenan o asi pero no cantan,Que su hermano grita mucho,La de el gato,Por que luego se le suelta mucho pelo y saca bolas de su pelaje,una pelota que esta hecha de plata
senor,mi papa,hermana,Si,porque estan haciendo en forma de una metafora,que el hermanito es muy ruidoso,un gato,porque esta lleno de pelos,porque es mi modelo a seguir
balon,la cortina,perro,No,por q no rima con nada lo que escrivi,mi hermanito me estresa cada bes que grita.,un gato,por q son peludos,no sabia q con testar
NI?'O,MI BARCO,CABEZA,No,"POR QUE PENS?ÅNDOLO Y ANALIZ?ÅNDOLO BIEN NO TIENE NADA QUE VER ES ALGO IL?""GICO",QUE SU HERMANITO GRITA MUCHO,UN ANIMAL,POR QUE EL ANIMAL TIENE PELAJE,QUE ES ALGO NUEVO
sol,la luna,gato,Si,por que hay algunas pelotas que tienen sonido,que un nino es muy ruidoso,un perrito,por que tiene muchos pelos,la luna por que es redonda y color como gris
sol,la luna,perro,Si,por que se trata de una persona que canta,que mi ermano grita mucho,gato o un hamster,por que son peludos,por que la luna tiene un lijero tono de plata
sol,papa,cabeza,Si,se esta rrefieriendo asu madre en la forma que ella puede o suele cantar,su hermano grita o llora mucho y asi es como la autor@ se refiere a el en el sentido literario,su gasto o perro. Tambien puede decir que su cabeza es una pelota de pelos,por que talves tiene mucho cabello o se le cae mucho ya sea a el o asus mascotas,en la forma de que alo mejor su papa es el que tiene dinero o trabaja para tenerlo
abuelo,abuela,papa,Si,por que suena bien,por que siempre grita,mi hermano,aci le dicimos,por que ya esta byyejito
nino,el canario,perro,Si,si por que la mama canta,por que los ninos pequenos por lo regular gritan por todo,un gato,por que los gatos son muy peludos y despiden mucho pelo,algo que es de plata o que vale plata para ti
un balon,nino,gato,Si,nose xdxd,q es chillon,perro,nose seme ocurrio,nose
El vecino es una pelota,mi papa es una pelota,mi abuela,No,por que no tiene ritmo,que es un bb,un animal,por que es unico redondo con pelos,por que es de color plata
SOL,YO,MI GATO,Si,SI,QUE SIEMPRE GRITA,MI PERRO,TIENE MUCHOS PELOS,QUE SOY MUY BRILLANTE
abuelo,la abuela,mascota,No,porque las pelotas no pueden hablar y tampoco cantar,que mi hermanito grita mucho,un perro o un gato,por que ellos estan llenos de pelos,"creo que se refiere a la abuela porque ella como esta viejita tiene el cabello de plata, metaforicamente"
sol,una escultura,cabeza,No,porque es imposible que una pelota cante,al hermano lo representa como una pelota y el grita mucho,un gato o perro,porque tienen pelo y a algunos perros callejeros asi los nombran,por que es de hierro la escultura y puede ser redonda
Universo,el mundo,perro,No,una pelota no se mueve ni tiene vida,porque el grita mucho o muy fuerte,un insecto o cosa,por la descripcion,porque el mundo solo es una parte del universo
Balon,la pelota,perro,No,es extrana la palabra y aparte las pelotas no hablan mucho menos cantan,que todo el tiempo llora y grita,un animal que tenga pelos o un juguete que tenga pelos,por que tiene pelos,que es una pelota pesada y brillante
sol,hermano,hermana,Si,esta linda,que su pelota es la mejor,que el mismo trata de explicar sobre el tipo de pelota que el tiene y de echo es la pelota mas especial,y que es la principal pelota,que todas las pelotas son importantes
sol,la luna,Gato,No,no le encuentro logica,Mi hermano es una ??persona que grita todo el tiempo,cualquier aminal,por que los animales tienen mucho pelo,por que la luna es grande y brilla
balon,cabeza,balon,No,por que no rima,es un nino,es un nino que se la pasa gritando todo el dia,por q es desepera,puede ser un modena por que exsiste demadera
elsol,una moneda,perro,No,noose,por quegrita,un gato,nose,moneda
poeta,el poeta,amigo,Si,xk rima,mi hermanito grita mucho,no se,no se,pelota de plata
Papa,hermana,pelota,No,"Porque no rima y es un ""poema""",Mi hermano grita demasiado,una pelota chida,porque es una expresion de algo chido,Que es sincero
balon,el nino,balon,No,las pelotas no cantan,que es muy inquieto,una pelota de oro,xk es de oro,que es una pelota
sol,naranja,la cabeza,No,por q siii,q asu hermano le gustan los grillos alv,una cosa peluda alv,pues por q tiene pelos alv,pues q es algo q parece una pelota pero es un fruto o otra cosa alv
sol,luna,perro,No,las pelotas no cantan,por que grita mucho,un gato,tiene pelos y esta gordito,es una bola de color plata
sol,la luna,cabello,Si,por tiene sentido con el jugo y abla de pelota,que mi hermono grita mucho,"mi cabello,unglobo o un liston",por que esta abiando de una pelota de cabello,que se refiere a aigo que tenga vida como un arbol
sol,moneda,hamster,No,por que no,por que es gordo y le gusta cantar,un ??ponpon,por que tiene pelos,por que es de plata
Sol,La luna,Cabeza,No,Por que las pelotas no tienen voz ni estan vivas,Quiere decir que su hermano grita mucho,Un perro,Por que algunos son muy peludos,La luna es una pelota de plata porque su color se parece al de la plata
parque,la pelota,pelota,No,ninguna pelota canta,que grita demasiado,mi mama,porque grita,que es plateada
asteroide,la estrella fugaz,perro,No,porque mi mama no es como una pelota y no veo como se puede parecer aun que se trate de una metafora,que mi hermano grita y grita sin parar y sin sentido,un gato,porque esta gordo y tiene pelos y aun que no tengo gatos la mayoria lo son,"pues el lo unico a lo que le vi sentido, no como a todo lo demas"
amor,la vida,perro,Si,Es la que lleva el orden y que cuida a la familia.,Que los ninos son muy energeticos y tienden a gritar mucho.,Otra mascota.,Porque otras mascotas tienen pelo,Que es muy poderoso en cuanto a lo que puede hacer por la familia.
Mi perro,Mi gato,Papa,Si,pues por que rima :'v,osea que su hermano grita mucho,una pelota de amor,por que suena bonito:'v,que puede ser una pelota de plaata oy eso te hece rico
sol,la luna,cabeza,No,por que las pelotas no cantan,es cuando mi hermano siempre esta llorando o gritando,mi sepillo para peinar,por que cuando uno se peina se queda el cabello y se va haciendo una bola de pelos,que la luna es gris y plata tambien y es muy bonita
hombre,amigo,mi papa,Si,por que las pelotas hacen ruido al lanzarlas,que hace ruido,un globo,por que son parecidos,que es diferentes a las demas
sol,la luna,cabeza,No,porque ninguna pelota canta,que cada bote que da es un grito de mi hermano,un nido,porque hay viven los pajaros,pelota que brilla
sol,moneda,mascota,No,porque la pelota es un objeto,que su hermano se la pasa gritando,un juguete para estres,por que te desestresas con una pelota de pelos,"que brilla, y te llama la atencion"
alumno,el,gujada,No,Por que las pelotas no cantan,Por siempre mete goles,La cabeza,Por que hay muchos pelos,Que es una pelota magica o especial
sol,la medalla,cabeza,Si,por que cuando cae o la mueves hace sonidos,quiere decir mi hermanito todo el tiempo grita,el estropajo,por que parece que es de pelos,es un reconocimiento de tu esfuerzo
sol,la luna,gato,No,porque una pelota no puede cantar,que el hermano se la pasa gritando,un perro,porque un perro tiene pelos,yo creo que es la luna
PERRO,MI ABUELITO,PAPA,No,POR QUE NO,QUE ES MUY GRITO,ES COMO UN ANIMAL,POR QUE TIENE PELOS,ES UNA PELOTA DE PLATA
sol,un trofeo de futbol,pelo,No,por que no ahi muchas cosas con forma de pelota,que su hermano es una latoso,bolitas de pelo caidos,por que son bolas y tiene sentido,es un trofeo de futbol el trofeo tiene una pelota de plata
CORREDOR,EL JARDINERO,HERMANA,Si,POR QUE ME LO IMAGINE ASI,QUE LLEGA A GRITAR MUCHO,UN GATO,POR QUE TIENEN MUCHO PELO,PUES PENSE EN UN JARDINERO POR QUE HACE EL MANTENIMIENTO DE LAS PLANTAS
balon,una perla,perro,No,por que no cantan,que es muy gritos,un gato etc,por que tiene pelos,que es cara y cuesta mucho
senor,el sol,gato,No,no es cancion,que mi hermano grita mucho y ase esallar alas personas,mi cabeza,tiene mucho pelo,que es muy brillante
sol,pelota,raton,No,no tiene boca,q es fastidioso,raton,por es chiquito,es de el color plata
PAP?Å,DINERO,CABEZA,Si,POR QUE SE PUEDE REFERIR A UNA PERSONA QUE SE LA PASA CANTANDO,QUE GRITA MUCHO,UN GATO,POR QUE ESTA GORDO Y TIENE MUCHOS PELOS,QUE VALE MUCHO PARA UNA PERSONA
sol,moneda,la mascota,No,no,ya es grande y grita,la mascota,ya que es gordo y peludo,podria ser una cadena de plata
sol,moneda,mi perro,No,"por k no hablan
y ya ja",que grita mucho,la vulva,por que tiene pelos,que brilla
sol,la luna,perro,No,las pelotas no tienen la habilidad de cantar,que se la pasa gritando todo el tiempo,un gato,por que tiene pelo,que es una moneda de plata
meteoro,la bolita de aluminio,mascota,No,por q no hay bolas q canten,q mi hermana grita,la mascota,por q tiene mucho pelo,q hay una bolita de aluminio
senor,misael,perro,No,por que al escucharse no tiene sentido,que mi hermanito es muy griton,el carro,por que el carro tiene muchos pelos,que hay mucha plata
el sol,la luna,cuarto,No,por que casi no le entiendo al poema,por que grita mucho,mi perro,por que es muy cochino,pues pelta de plata
Sol,La luna,papa,Si,"El autor del poema tiene una forma de expresar con la palabra ""pelota"" una persona, asi que tendria sentido en decirlo de esa manera",Se refiere a que su hermano es una persona gritona,Un gato,Seria una manera de expresar un gato pero con un tanto de sentido figurado,"Como el autor trata de poner personas u objetos como ""pelotas"" por tanto yo decidi poner que la luna era una pelota de plata"
encendedor,plato,perro,No,por que las pelotas no cantan,quiere decir que los ninos gritan mucho,mi cabeza,por que en mi cabeza tengo cabello,no tengo idea
circulo,el aro,cabeza,Si,por que tiene otra forma de expresarse,que es muy la toso,la rabo de conejo,es una parte que del conejo que es circular y peluda,"que es un aro hecho de plata, son los que utilizan los del circo"
gato,gato,gato,No,por que no da sentido con el poema,que es bien gritano,el pelo,por que tanbien es una bola de pelo,que puede ser algo de plata
sol,la luna,perro,Si,porque se refiere a su mama como una pelota y su mama puede cantar,su hermano es un bebe que grita y llora mucho,el planeta,porque hay muchas personas en el planeta con mucho pelo,la luna es una esfera plateada
perro,mi cama,sillon,Si,porque esta describiendo a su familiares por pelotas,que esta gritando su hermano,una bola de pelos,porque a alguien quiza podria caersele el pelo,de que las partes de las plantas son su familia
tiempo,mi vida,pelo,Si,porque es una metafora,que el hermanito grita mucho,un perro,porque son peludos,porque esa valiosa
sol,la noche,papa,Si,"puede ser una metafora, y la metaforas tienen sentido",que mi hermanito siempre grita,un perro,porque tienen mucho pelage,que la noche tiene color parecido a la plata
perro,rebota por que,cabello,No,por que no cantan verdaderamente seria una metafora,que su hermano siempre grita,un perro,por que tiene muchos pelos,es como ver a algo hermoso
sol,luna,gato,Si,porque puede ser que su mama cantaba mucho,"quiere decir que su hermano grita mucho, es una metafora","un perro, o, un conejo","porque, las mascotas son peludas","la luna, porque es blanca y refleja la luz del sol (la pelota de fuego)"
sol,la copa,cabeza,No,Por que dice que su mama es la pelota que canta pero ella no es una pelota.,Lo que yo entiendo es que su hermano grita mucho y a eso se refiere.,Una mascota.,Por que las mascotas normalmente son peludas.,Hay copas de reyes que son de plata y tienen forma circular.
sol,la luna,perro,Si,por que se refiere a que su mama canta,se refiere a que su hermano grita mucho,la ropa,por que la tela son pelos,la luna es color plata y brilla
sol,La luna,gato,Si,Porque esta usando la frase para describir a su mama.,Quiere decir que su hermano grita mucho.,Podria ser otro animal como un hamster.,porque ese animalito es peludo asi que podria quedar con la frase.,"Como en la primera frase decia pelota de fuego se me figuro a un sol, asi que cuando lei ""pelota de plata"" automaticamente pense en la Luna."
VECINO,ELLA,PAPA,Si,POR QUE SON RECURSOS QUE LOS POEMAS UTILIZAN PARA RIMAR Y TIENEN DOBLE SENTIDO.,QUE SU HERMANO ES MUY LLORON Y ENOJON Y DE TODO GRITA,QUE ES UNA PERSONA QUE TIENE MUCHA CABELLERA,POR QUE PELOS SE REFIERE A MUCHA CABELLERA Y PELOTA A PERSONA,ES UNA PERSONA MUY VALIOSA
qwe,qwe,qwe,Si,qwe,qwee,qwe,qew,qwewqe
perro,no se,papa,No,no le entiendo,por que regana al hermano menor,un coco,por que tiene pelos :v,es la que la vale mas
Sol,Luna,Mi papa,Si,Porque es una metafora hacia su hermano,Que es una persona que grita mucho,quizas a una mascota que tengan,Porque puede ser un animal peludo,Porque el sol es de fuego y la luna es de color de la plata
rojo,dorado,lengua,No,"depende, si se refieren al sentido literal o figurado, si es literal no tiene sentido, pero si lo vez en sentido figurado puede tener un mensaje trascendental","Cuando a alguien se le dice pelota, la mayoria de veces es porque tratan de decirle gordo/a asi que supongo que trata de decir que su hermano es un gordo griton",la cabeza tal vez,Por su forma redonda y llena en este caso de cabello,"Me refiero al color, cuando me dicen plata lo primero que se me viene a la mente es el dorado"
una bruja,una bola de crital,gata,No,por que no se entiende a que quiere dar a entender,que es una persona inquieta,un animal,porque son aquellos que tienen mucho pelo,que puede que sea una referencia a algo de plata
sol,luna,gato,No,por que no es una pelota,porque grita mucho,un perro,porque tiene pelos,es redonda y parece de plata
globo,amigo,papa,Si,las pelotas hacen ruido al golpearlas,que siempre que se mueve hace demasiado ruido,mi hermano,porque el es demasiado fuerte :v,que si se llega a romper no se podria recupererar ya que es muy cara
meteorito,la medalla,gato,Si,si es un juguete o algo que produzca algun sonido pues si,Que con cualquier cosa se altera y grita,Cualquier cosa que sea redonda,por que lo dice en sentido figurado,que vale mucho
Sol,Moneda,Cabeza,Si,por que habla de cosas circulares igual que una pelota,por que no esta quieta,la cabeza de un perro,por que es circular y tiene pelos,es una moneda por que es circular y es de plata
abuelo,abuela,papa,Si,porque mi mama es una pelota que canta muy bonito,que mi hermanito grita mucho en casa,mi abuelo,porque tiene pelos en la parte de su estomago,que es una pelota que vale mucho
Sol,Mi cerebro,Cabeza,No,"Por que una pelota, ??que canta?. Seria ilogico que cantara, sin embargo hay personas que tienen mucha imaginacion e incluso en cuentos podria decir que una pelota que canta o algo parecido (claro que seria un cuento de fantasia). Puse que no por que para mi si seria ilogico que un objeto hablara o cantara.","Pues ami entender, la persona se esta haciendo una referencia de la pelota con su hermano, que es inquieto, entre otras cosas.",Un estambre,"La mayoria de estambres estan redondos, como lo es la pelota. Tambien por que suelta pelos, y en general se me vendria mas a la mente el estambre.","Pues yo lo puse, por que mi cerebro en si es el que piensa, razona, es inteligente, algo apreciado, y lo di como referencia como algo importante."
sol,mi trofeo,gato,No,porque una pelota es un objeto no una persona y una pelota no canta,que a mi hermano le gusta gritar o hablar mucho y muy fuerte,mi cabeza o la de alguien mas,la palabra pelota es la cabeza y pelos es el cabello,porque mi trofeo es de plata
SOL,la moneda,cabeza,No,porque las pelotas no,que es muy fastidioso,pues como un animal peludo,por que algunos animales estan peludos o pequenos como el hamster que es un animal pequeno y se ase volita,pues una moneda
Sol,moneda,cabeza,Si,"esta diciendo que canta, y la pelota es su cabeza",grita mucho,un animal peludo,porque esta cubierto de pelos,es una moneda de plata redonda
BALON,LA MONEDA,MI SOMBRERO,No,NO LE ENCUENTRO NINGUNA REFERENCIA,POR LO QUE ENTIENDO ES QUE UN NI?'O TIENE UNA PELOTA QUE ES SUPER FANT?ÅSTICA,UNA PELOTA DIFERENTE,MAS O MENOS ENTIENDO ESO,UNA PELOTA QUE ES DE PLATA
El patio,mi papa,Mi perro,No,por que las pelotas no cantan,por que los ninos gritan cuando estan pequenos,un perro,por que estan peludos,el dinero es importante y valioso
senor,el nino,vecino,Si,por la frase,que mi hermano se parece a una bola de pelos,un peluche,por que tal bien puede tener pelos,que es una pelota similar ah una de plata por su color o otras caracteristicas
BALON,QUE,CAMA,No,POR QUE NO TIENE NADA QUE VER CON EL POEMA,PUES K ES COMO MUY LIDA CON MIGOM Y K PARESE ALGO MUY TIERNO LA PELOTA DE PELOS COMO MI SISTER,UNA SILLA O UN SOFA,POR QUE PARESE UNA CAMA Y ES ACOLCHONADO,QUE VALE MUCHO
hombre,mi medalla,gato,No,pues yo creo que no por que no tiene sentido,que tiene un hermanito que grita mucho es muy imperactivo,un perro,por que hay unos muy peludos y gorditos,que es algo muy preciado
diablo,joyas,cabello,Si,Por que la cantas xdxd,que el hermano grita mucho,una bola de cabellos de la mama yo que se,no se bro disculpa,es una pelota hecha de joyas o de plata jajaja
abuelo,abuela,papa,Si,siempre grita,siempre grita,hermano,nose,mi abuela
hermano,papa,gato,Si,por que dice que la pelota que canta es por que quiere dercir que cuando juegan la pelota saca un poco de sonido,quiere decir que el nino es muy griton cuando juega la pelota,podria ser que cunado un gato esta como dormido pero echo bolita,por que esta peludito como cabellos,quiere decir un balon echo de plata como cuando juegas en un campeonato de futbol o asi
amigos,papa,cabeza,Si,se refiere a que canta mucho,grita mucho,su hermana,tiene mucho pelo,cuando se peina
