,Explica pelota de gritos,a_similarity,a_wmdistances,a_n_similarity,a_distance,a_puntaje,Explica pelota de pelos,b_similarity,b_wmdistances,b_n_similarity,b_distance,b_puntaje,Explica pelota de plata,c_similarity,c_wmdistances,c_n_similarity,c_distance,c_puntaje
109,por que chillan mucho o gritan mucho exageran,0.27349812,0.047502127078317496,0.37034804,0.8211475263039271,3,ns,0.29320645,0.04169987514615059,0.30151507,0.8420351147651672,3,por que es algo de plata como una moneda,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
110,que su mama es una persona muy gritona,0.24884206,0.04441243897810578,0.33031517,0.8856650404632092,2,por que el hilo puede pare ser una bola de pelos,0.20290446,0.04409714223438501,0.3007726,0.8595481589436531,1,que es muy valiosa,0.32995352,0.05332736670970916,0.44531077,0.8273184448480606,3
111,que no entiende,0.23694329,0.04333477467298508,0.23694329,0.8358135223388672,1,porque esta tan gordo que parece una pelota de pelos,0.14182627,0.0459524542622131,0.2011334,0.9411135092377663,1,por que si hermano,0.274373,0.04873606860866442,0.36841765,0.7653998285531998,1
112,por que se la pasa gritando,0.23520699,0.045345007556863125,0.31450334,0.8717971257865429,3,por que es como lo interpreto,False,False,False,False,1,por que la moneda esta hecha de plata y tiene una forma redonda,0.26267242,0.048058167993888255,0.47444183,1.0112426951527596,1
113,porque grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que es peludo,0.12905775,0.050064392387866974,0.13895622,0.9196195155382156,3,porque es un mundo de dinero,0.3059497,0.04306678083387572,0.28945336,0.8847003132104874,1
114,su hermano es un niño que grita mucho,0.5320715,0.043686585130185654,0.688193,0.798748125632604,3,pues es solo una cosa,0.11498465,0.047525130212306976,0.08853935,0.96882214397192,1,esa persona mencionada es muy valiosa,0.23735192,0.04795305784275449,0.43172103,0.8875765278935432,3
115,que es muy ruidoso,0.17337063,0.04464643821120262,0.17337063,0.9622783958911896,3,poeeeeeeeeeeeeeeerahiyfnom,False,False,False,False,3,es que es lo único que se me vino a la mente la verdad es algo raro esto pero bueno adiós ,0.32421243,0.044887833297252655,0.27917272,0.9655551463365555,1
116,es una maquina o bien alguien que grita demasiado,0.38372478,0.04335598800076527,0.6226582,0.8877422685424486,3,por que rebota,False,False,False,False,1,una cosa grande y apreciada,0.15548898,0.0452850343926859,0.3341638,0.9321299983809391,1
117,pirhhhhgvfriufueiituj,False,False,False,False,1,es una pelota de oro,0.13409342,0.04556732198336721,0.17735226,0.9578770250082016,1,opjfyunerton,False,False,False,False,1
118,por que llora o le hacen algo,0.24942526,0.04764505103230476,0.24942526,0.9103724360466003,3,ns,0.29320645,0.04169987514615059,0.30151507,0.8420351147651672,1,vale mucho por que es de plata,0.5448501,0.045897604461446403,0.7066667,0.8533634059131145,2
119,pues que su hermana grita mucho,0.67442465,0.04598147530183196,0.812502,0.8989068418741226,3,yes,False,False,False,False,1,mi papa por que es de plata,0.24543253,0.046650544919651,0.39104897,0.9604425728321075,1
120,0,False,False,False,False,1,es chido,0.086552605,0.047180451452732086,0.08371926,0.9527677930891514,1,sa bra,False,False,False,False,1
121,and fort,False,False,False,False,1,tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,no,False,False,False,False,1
122,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,tiene mucho pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,2,da dinero o es de la suerte,0.3059497,0.04306678083387572,0.28945336,0.8847003132104874,2
123,porque grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,es redondo con muchos pelos,0.61499894,0.0427726980144158,0.5977603,0.8382281363010406,3,la luna es una pelota de plata porque brilla,0.45637804,0.04750225204580184,0.65574944,0.881996501237154,3
124,mi hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque están llenos de pelos y sueltan muchos pelos,0.19097456,0.04489199028335139,0.28653798,0.8773347763344646,3,muchas monedas,False,False,False,False,1
125,que grita demasiado,1.0,0.04469776898622513,1.0,0.8691247999668121,3,perro o gato,0.20816612,0.04706447645152174,0.27829164,0.8494965471327305,3,es redonda y plateada,0.31196916,0.050420051834497596,0.40001813,0.9774950575083494,3
126,que su hermanito siempre esta gritando y hace mucho ruido,0.40416485,0.04247737973366851,0.6044742,0.7774810045957565,3,los gatos tienen mucho pelo,0.5944792,0.02490375190973282,0.7340137,0.8163842782378197,3,porque la luna tiene un tono plateado y es lo contrario al sol,0.6066893,0.04597296798045784,0.8018383,0.8724951550364495,3
127,que su hermano es una persona muy ruidosa,0.25112942,0.04335676413351897,0.38138294,0.8230440604190031,3,porque son peludos y cuando se duermes se ve como una bola de pelos,0.2148701,0.044829918161395005,0.37176666,0.8795837266370654,0,la luna es contrario del sol y tendría sentido mencionar ambos en el poema también el color de la luna es parecido al de la plata,0.4450146,0.04492243539873805,0.7782836,0.8729155537757006,3
128,siempre grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque es pequeño y tiene pelo,0.53952503,0.023155847564339638,0.7819809,0.899321286007762,3,la luna parece plata,0.6202029,0.04807354359564557,0.6693728,0.9004301466047764,3
129,quiere decir que todo el tiempo esta gritando sin parar,0.12690482,0.04931981846861541,0.17140815,1.0493702627718449,3,porque tiene mucho pelo y luego se hacen como bolitas,0.58813876,0.02732033468782902,0.6770203,0.8557260408997536,3,que es alguien que vale mucho o alguien que es pesado,0.34474462,0.04545337284597005,0.5093456,0.9185668118298054,2
130,que su hermanito es muy gritón que su hermanita esta muy loco,0.31281534,0.04677135034695268,0.51637006,0.8923817072063684,3,porque se refiera a distintas personas y cosas con lo de pelota,0.13008764,0.046515288399467246,0.2547702,0.9160039098933339,3,pues la luna tiene forma de pelota y su color es parecido a la plata,0.5046257,0.046411965969805645,0.773857,0.9008982069790363,3
131,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,pues que es de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
132,quiere decir que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque tienen muchos pelos algunos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,es una luna debido a que los colores son parecidos a la plata y es lo contrario al sol que fue mi respuesta en pelota de fuego,0.3385776,0.04626527873641813,0.599651,0.8862713165581226,3
133,que grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,ns,0.29320645,0.04169987514615059,0.30151507,0.8420351147651672,3,que es de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
134,que mi hermano tiene mucha energía,0.20544474,0.045209012497790156,0.28992075,0.9028900656849146,3,porque son gorditos que parecen una pelota,0.17039976,0.04630592977158674,0.3030452,0.8722782557209333,3,es la luna porque su color es brillante y puede tener una forma de pelota,0.5548732,0.04736388808298707,0.75576353,0.9325687408447265,3
135,que es muy pequeño y grita,0.6119649,0.04337084866721556,0.80199385,0.8506377562880516,3,porque sueltan mucha pelusa,0.2045761,0.04471736028790474,0.23772135,0.8329057097434998,1,porque la luna es así,1.0,0.04827899485826492,0.71598035,0.8905605003237724,3
136,que es pequeño y que grita mucho,0.6119649,0.04337084866721556,0.80199385,0.8506377562880516,3,porque se ven chulos,0.16535564,0.04531642794508673,0.2405643,0.8982299100607634,3,porque tiene cabello de plata,0.23318549,0.04630089260773175,0.3525625,0.9430426992475986,3
137,que es muy gritona,0.123823516,0.047475993633270264,0.123823516,1.0522872731089592,3,porque tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,porque el aluminio tiene un tono plateado y brilla con el sol,0.49612194,0.04564561134588718,0.64473474,0.8604264240711927,1
138,no para de gritar,0.2879458,0.053123362362384796,0.2879458,0.930664449930191,3,porque tiene muchos pelos y es gordo,0.117895804,0.04569677377842739,0.109888904,0.988805565983057,1,es una metáfora del color,0.6360805,0.04594919524951279,0.7203792,0.8968789763748646,3
139,que grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que es la realidad no hay forma de que sea otra cosa,0.1311289,0.04585224562883377,0.18281442,0.9133643619716167,1,que como es plata parece moneda o suena como una moneda,0.25535536,0.04714109689344093,0.35629213,0.9500181451439857,1
140,que mi hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque tiene pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,3,pelota de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
141,pues que al parecer su hermano grita mucho pero no entiende la metáfora de pelota,0.37552854,0.043824323367678726,0.6435683,0.8603578781088194,3,ya que es una persona que cae bien,0.18397863,0.046121586254656316,0.28492177,0.8449816629290581,1,es la luna por que así la llaman,0.62572026,0.046377792180243876,0.64536774,0.8916799314320087,3
142,que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque es una bola y tiene pelos,0.20290446,0.04409714223438501,0.3007726,0.8595481589436531,3,porque los abuelos tienen canas y son como plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
143,se refiere a que es una persona que grita,0.5595169,0.04452095905812123,0.75467765,0.8150889774163564,3,por que un perrito parece una bola de pelos,0.19261897,0.044848155017839196,0.320188,0.8554786493380865,2,de buena suerte,False,False,False,False,2
144,que su hermano hace mucho escándalo,0.34062856,0.044547485158951954,0.44131148,0.8529984056949615,3,por que tienen pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,porque la luna brilla como la plata y es precisamente una pelota,0.40632066,0.046742452951537075,0.6607103,0.894476480782032,3
145,que hecha mucho relajo,0.17489755,0.04447759983946569,0.23428439,0.8738198578357697,3,porque tiene demasiado pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,3,cuando la luna sale parece reflejar como si fuera plata,0.4148472,0.04696497338545881,0.6103503,0.9482428692281246,3
146,porque su esta loco,0.19980872,0.048067037016153336,0.19980872,1.0557586923241615,2,por que los perros son muy peludos,0.2013641,0.046931211492309347,0.30149406,0.8679384253919125,3,por que la luna es blanca y la plata también,0.5116549,0.049270002413135804,0.6177796,0.924386932204167,3
147,que grita demasiado,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque es sentido figurado así es como habla el poema,0.17742203,0.04520153107139317,0.2666111,1.0359291198352973,3,pelota de hierro,0.34187788,0.04873271659016609,0.42143494,0.8443233966827393,1
148,es que su hermano es muy hiperactivo,0.33427218,0.04505961015820503,0.33427218,0.810953676700592,2,andan de un lado a otro y son peludos,0.27213433,0.04422711743371188,0.3661868,0.8703702837228775,3,de que vale mucho,1.0,0.04621981732169981,1.0,0.8905605003237724,3
149,que el hermano se la pasa gritando,0.2682287,0.04524983346757108,0.39394093,0.851515976091226,3,tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,2,que es de menor valor que la de fuego menos importancia quizás,0.28119886,0.04675453767590225,0.34994012,0.9089077264070511,1
150,que hace mucho escándalo,0.34698495,0.044035345315933234,0.34698495,0.895043134689331,3,así son las metáforas,0.100754604,0.04456042498350144,0.100754604,0.9782209545373917,3,ella te alumbra,False,False,False,False,2
151,que es muy alborotado,False,False,False,False,2,porque tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,es valioso,0.20582826,0.05252939090132713,0.25812495,0.887294627726078,2
152,que siempre se la pasa gritando,0.23520699,0.045345007556863125,0.31450334,0.8717971257865429,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,porque la luna es blanca y parece plata,0.5116549,0.049270002413135804,0.6177796,0.924386932204167,3
153,que es gordito y grita mucho,0.65755963,0.04397335224426538,0.786144,0.7932206839323044,3,porque algunos gatos son peludos,0.22050464,0.046801795290224255,0.32625473,0.8373701572418213,3,porque es muy valioso,0.20582826,0.05252939090132713,0.25812495,0.887294627726078,3
154,que siempre grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque puede ser un animal con pelos,0.18632926,0.04429272722547502,0.25103658,0.8836804181337357,1,una bala de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
155,mi hermanito es gordito y es gritón,0.3185034,0.04508088231674097,0.44564077,0.8021235267321268,3,por que un mechón de pelo es una pelota de pelos,0.38950914,0.0334275963485539,0.6522195,0.8484701700508595,3,se refiere a la luna,0.56766254,0.04611826844338327,0.642607,0.9399259351193905,3
156,que grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,una jarra que es como una pelota,0.34187788,0.04873271659016609,0.42143494,0.8443233966827393,1
157,que su hermano siempre esta gritando,0.27711114,0.045999096558783203,0.35389352,0.879812341183424,3,se refiere a un ser peludo,0.16082197,0.046538006781242786,0.22984105,0.8885084912180901,1,la fortuna,False,False,False,False,1
158,que no para de gritar,0.2879458,0.053123362362384796,0.2879458,0.930664449930191,3,pues tienen pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,pelota de dinero,0.32391378,0.04443897439683974,0.4589113,0.8188408836722374,1
159,que su hermano grita mucho y no sale de su circulo,0.4466349,0.04697032779496908,0.6427112,0.9204366719350219,3,por que tienen pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,ella tiene una mirada de plata,0.1877605,0.045453193178279346,0.28960064,0.8969150818884373,2
160,un humano gordo que no para de chillar,0.21689901,0.04676845967271917,0.31946015,0.8668443063894907,3,por que tienen pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,0,False,False,False,False,1
161,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que tiene mucho pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,3,por que dicen que la luna es de plata,0.6202029,0.04807354359564557,0.6693728,0.9004301466047764,3
162,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que entre mugre y pelos pues se hace eso ,0.21828106,0.04248481341568753,0.24611458,0.9394313748925924,3,por que dicen que la luna es de plata,0.6202029,0.04807354359564557,0.6693728,0.9004301466047764,3
163,que su hermano se la pasa gritando,0.2682287,0.04524983346757108,0.39394093,0.851515976091226,3,porque tiene pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,3,que es importante,0.3464877,0.04665456544484916,0.31120858,0.9544508457183838,2
164,que grita mucho que da mucha lata,0.5581203,0.04333578326744587,0.7868592,0.8716314285993576,3,porque tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,una pelota de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
165,mi hermano grita,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,por que el perro tiene muchos pelos,0.19432336,0.046393606407243757,0.2454241,0.8778226859867573,3,porque desde lejos es como de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,3
166,quiere decir que su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque puede que sea un perro o gato con pelos,0.21544336,0.04585337670160311,0.3199116,0.8535118823250135,3,creo que es una pelota color plata,0.5274279,0.04721139640916613,0.6637023,0.8623348077138265,1
167,pues que grita mucho y tal vez al hablar grita,0.75769365,0.043662614389428776,0.9248721,0.8386226495107015,3,porque la bola de pelos del gato es redonda como una pelota,0.19607244,0.04519485301171839,0.38044736,0.8612860187888145,3,pues que siempre esta brillando y siempre se refleja siempre sobresale,0.24195766,0.04508981174841294,0.40109104,0.8970840958257517,3
168,que el niño es un niño que grita mucho,0.5079616,0.04243424303448762,0.6112039,0.7671522001425425,3,por que los perros tienen pelos,0.19033761,0.04674884484625608,0.26464608,0.8702669627964497,3,una pelota de plata es una pelota de plata,0.29114184,0.04830038429493644,0.44308388,0.8773115947842598,1
169,que el hermano grita como una pelota que esta botando,0.47249883,0.045313823208879674,0.6682943,0.8690914884209633,3,porque esta llena de pelos,0.21512955,0.04497552385138907,0.28407735,0.8583195209503174,1,quiere hablar de una canica,0.2835093,0.048579890280962,0.2798854,0.951083779335022,1
170,es alguien que grita o habla demasiado,0.5600984,0.04352682153209299,0.7834102,0.8732404410839081,3,por que al referirse a la familia por lo que una pelota de pelos seria un animal,0.1461448,0.046506621380034203,0.26611286,0.9247571236143509,3,por que mi padre es alguien fuerte como la plata,0.2464939,0.045619660074640064,0.48189175,0.8684741761535406,2
171,que siempre grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,por que hay mucho pelo en un lugar,1.0,0.021057022735476494,1.0,0.8149137198925018,3,que es muy dura,0.09665418,0.049651775509119034,0.052055866,1.2237169593572617,1
172,de que su hermano o es un quejumbroso o es un llorón,0.27974093,0.04378798417151252,0.4242924,0.8199173882603645,3,porque es un gato obeso,0.2278337,0.046188890342317525,0.31585246,0.8543901666998863,3,la luna por que brilla,0.6216143,0.04670410990649089,0.6788622,0.8866814076900482,3
173,que se la pasa gritando,0.23520699,0.045345007556863125,0.31450334,0.8717971257865429,3,porque los cocos tienen pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,por que la luna es una bola brillante,0.5129881,0.04628822858900263,0.5852197,0.9410593484838804,3
174,tiene sobrepeso,False,False,False,False,2,porque puede estar gordo,0.005793769,0.047962196171283715,0.005793769,1.1160685792565346,3,mi collar tiene forma de pelota y esta hecha de plata,0.25782537,0.04840241554497182,0.49602824,0.9780613798648119,1
175,que todo el día esta hablando y gritando,0.20243976,0.04654799622067436,0.2707727,0.9408602751791477,3,tienen mucho pelaje,0.27014148,0.04593824967741966,0.34351712,0.7402054071426392,1,pues porque la luna tiene un ligero color plateado,0.8460689,0.04587945639531687,0.9464843,0.8803609926253557,3
176,que es un niño gordo que grita por todo o su tono de voz es fuerte alto,0.32498267,0.043183581196881135,0.6068203,0.8403645221676145,3,si,False,False,False,False,3,la luna tiene forma de pelota y es color plata,0.5630433,0.04777914036515355,0.77391696,0.922161041200161,3
177,porque grita demasiado,1.0,0.04469776898622513,1.0,0.8691247999668121,3,tienen pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,la luna es color plata o gris,0.639017,0.046927979605648665,0.822838,0.8603415656834841,3
178,si,False,False,False,False,1,porque tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,si,False,False,False,False,1
179,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,tiene mucha pelo mis pies,0.57102656,0.02298305742442608,0.77718806,0.8497075363993645,3,aluminio,False,False,False,False,1
180,que el hermano siempre esta gritando entonces es un conjunto de gritos,0.20087223,0.04595873907173518,0.33013153,0.9267248623073101,3,por que tienen mucho pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,3,por que la luna parece estar hecha de plata,0.48549694,0.048057829003937,0.65098906,0.9417474468549093,3
181,solo grita,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque tiene pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,1,un premio,False,False,False,False,1
182,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque si lees la oración completa con la palabra que quieres puede haber infinitas respuestas,0.119902655,0.04397066682577133,0.12300266,0.9247903376817703,1,la luna por que suena lírico,0.50039315,0.04737886608521054,0.6378436,0.9602831602096558,3
183,que me hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque es una bola echa de pelos,0.20290446,0.04409714223438501,0.3007726,0.8595481589436531,1,si,False,False,False,False,1
184,mi hermano es un gritón,0.3289657,0.04666537107116729,0.40522,0.83058662712574,3,porque ahí crecen pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,algo que tu quieres proteger que puede hacerdaño o que puede darte valor,False,False,False,False,2
185,que su hermano grita o hace mucho ruido,0.48838246,0.029919100629816005,0.7009524,0.5600261588891348,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,la luna porque es de forma esférica y se parece a la plata,0.3977346,0.04728837453188747,0.60939074,0.9524988178163767,3
186,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque tiene muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,una pelota de color gris,0.55251336,0.04676580113850022,0.6941595,0.8282764554023743,1
187,por que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque esta lleno de pelos,0.15239468,0.045807213943101464,0.20267513,0.903818542137742,3,que es muy valiosa,0.32995352,0.05332736670970916,0.44531077,0.8273184448480606,1
188,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,la cabeza esta llena de pelos y los nudos de la cabeza son echos por pelos pero son como pelotas,0.23205411,0.04437626490177587,0.3858882,0.9206677200272679,3,porque la comida vale mucho,1.0,0.04621981732169981,1.0,0.8905605003237724,1
189,que siempre esta gritando,0.2199501,0.04693857207894325,0.2199501,0.948671005666256,3,por que es,False,False,False,False,3,es la luna así se le llama a veces,0.6630285,0.047112550202991814,0.70694137,0.8956830017268658,3
190,que o se mueve mucho porque es una pelota o que es muy ruidoso,0.1843479,0.044125955854382636,0.28606698,0.8692719414830208,3,porque tiene pelo,1.0,0.021057022735476494,1.0,0.8149137198925018,1,porque en la vida real es mi hermano gemelo y tendría sentido que lo mencionara suponiendo que yo escribiera ese texto,0.20074269,0.04501285325657181,0.3840689,0.9154463291168213,1
191,que su hermano esta chiquito y grita mucho,0.45763436,0.044221877743701926,0.72168463,0.8680348893006643,3,porque es peludo,0.12905775,0.050064392387866974,0.13895622,0.9196195155382156,1,es la luna,1.0,0.04827899485826492,0.71598035,0.8905605003237724,3
192,que mi hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque son peludas,-0.115100026,0.05039883404970169,-0.12958828,1.1295882761478424,1,alguien que es muy fuerte,0.22767909,0.042935106588840484,0.3767009,0.8681432269513607,1
193,0,False,False,False,False,1,porque tengo cabello y es redonda,0.20810783,0.046400974181629716,0.24194688,0.907973188906908,3,0,False,False,False,False,1
194,significa que es una niño muy chillón y que normalmente se desespera y grita,0.36591953,0.04456576680702144,0.6343479,0.8736322981615862,3,porque tienen pelo son peludos,0.62602544,0.021898046135902405,0.7979827,0.8358995988965034,3,mi papa es una pelota de plata porque el es el que genera mas plata dinero,0.2758197,0.04600940568204448,0.47411573,0.8860145658254623,1
195,que tu hermano grita mucho y esta gordo,0.48631775,0.044537655175912884,0.67292905,0.8583889007568359,3,pues por que son puros pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,el ninja gris se hace bola y se convierte en una bola plateada,0.31428802,0.04740092668685876,0.4553929,0.8770236633718014,1
196,que su hermano es muy gritón,0.3289657,0.04666537107116729,0.40522,0.83058662712574,3,tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,lo puse como la luna porque la luna es una bola gris pelota de plata,0.5065797,0.04646528302004597,0.7072299,0.852096692792007,3
197,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,la luna por que es redonda como una pelota y es del mismo color que la plata,0.58870995,0.04745381416214705,0.7697555,0.8909227162599563,1
198,quiere decir que su hermano es un niño que grita,0.5320715,0.043686585130185654,0.688193,0.798748125632604,3,porque igual y a pelos se refiere a muchas cosas yo creo que es lo mas probable,0.21129203,0.043221473990678785,0.28838864,0.859470009803772,1,0,False,False,False,False,1
199,que grita en exceso,0.6066337,0.04480542665418982,0.77396643,0.8646664544939995,3,porque tiene forma y pelos,0.18863551,0.043805357309460634,0.29023194,0.8597245663404465,3,porque las canicas pueden ser de metales,0.18265507,0.04707257510148188,0.1638042,0.9728192072361708,1
200,mi hermano es alguien que no para de gritar y hablar,0.2538739,0.04553279088871367,0.41246867,0.8491481393575668,3,porque es como bola de pelos,0.20290446,0.04409714223438501,0.3007726,0.8595481589436531,1,una persona u objeto muy difícil de vencer o romper alguien de terminar,0.19570957,0.044866584357652534,0.28579664,0.9369801543653011,1
201,que su hermanito es un gritón y llora todo el día como la llorona,0.27299017,0.04607009144056589,0.43402153,0.870778638869524,3,porque una pelota de pelos es mucho desastre acumulado,0.22064388,0.043612979115441444,0.41515663,0.8372395932674408,3,la luna tiene color de plata y cuando esta llena tiene forma de pelota,0.5160318,0.047754883511880473,0.76641035,0.9281652718782425,1
202,alguien que grita,0.5600984,0.04352682153209299,0.7834102,0.8732404410839081,3,porque hasta la fecha cuento con cabello hablando en sentido literal,0.18262371,0.04569428039697224,0.30504528,0.9501406280323863,3,canica por que unas canicas son de plata,0.2355234,0.0470579486135411,0.35181236,0.9093016584714254,1
203,que tu hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque los animales están repletos de pelo,0.417735,0.0297307873828146,0.70982647,0.94080717364947,1,algo que te sirva,False,False,False,False,2
204,el hermano representa a un infante en plena etapa de inocencia y escándalo,0.24652506,0.04450678778895803,0.47773394,0.8934558981231281,3,tiene muchas pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,mi alegría es como la plata reluciente,0.22130318,0.04542105356067419,0.32967347,0.8843565136194229,2
205,que tu hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,porque es redonda y tiene pelo,0.56359136,0.023271523416042328,0.77309227,0.8758139126002789,3,es un imán,False,False,False,False,1
206,que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,puedes decir que eres una pelota de pelos por que estas todo enredado,0.18425184,0.044890865146867936,0.31808513,0.8907563299871981,3,no se que puede ser,False,False,False,False,1
207,porque no deja de gritar,0.21601981,0.047340406258977945,0.27139693,0.8166194707155228,3,por que tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,1,pues el dinero es plata,0.27317774,0.04400664785014093,0.37903363,0.850433312356472,1
208,que hace mucho escándalo y no se puede quedar quieto,0.20379283,0.0440507577611019,0.29657653,0.873873695731163,3,porque duermen así,False,False,False,False,1,que eres un sol y que eres muy bonito,0.3557008,0.04605956581392473,0.4452386,0.8552748560905457,1
209,es un ser que grita mucho,1.0,0.04469776898622513,1.0,0.8691247999668121,3,porque cuando vomitan producen una,0.21834035,0.04514116651781649,0.27648398,1.0438197311013937,3,medalla por que una medalla de plata tiene un forma circular y es de plata,0.21578357,0.046920652217164634,0.38314983,0.9633807465434074,1
210,que esta muy irritante,0.14410184,0.04572897404432297,0.14410184,0.9396298862993717,3,es una expresión,0.23107475,0.044022079557180405,0.24234605,0.8476841151714325,1,que esta tranquilo,False,False,False,False,1
211,que su hermano es gordito y redondo y esta constantemente gritando,0.2651252,0.043875633108789475,0.4208268,0.8299321994185448,3,el gato también tiene pelos,0.24384059,0.04410217798521743,0.34867865,0.8332164138555527,1,ciertas balas son redondas y las balas creadas en los cuentos ficticios son de plata,0.24040581,0.047868069261312485,0.30707037,0.9102997928857803,1
212,es una machina a gritar,0.24179077,0.049233882263660426,0.31826928,0.9289463944733143,3,tiene pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,0,False,False,False,False,1
213,su hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,pues la misma palabra te lo dice depende de como lo tomes o lo veas,0.094442934,0.047276308063041415,0.10500622,0.9929531533271074,3,la armadura tiene forma de humano así que se me hizo algo razonable ponerlo,0.23293276,0.04898229241371155,0.24122629,1.133240282535553,1
214,mi hermano grita mucho,0.6671361,0.044878695823419835,0.8002222,0.8400392383337021,3,por que tienen muchos pelos,0.22999784,0.04343133419752121,0.23177007,0.8615425527095795,3,es redonda y tiene color plata,0.53389066,0.0467524092866523,0.66941684,0.90657656143109,1
