ta1,ta2,ta3,ta4,ta5,ta6,ta7
sol,papa,perro,"si, porque si con pelotas se refieren a personas entonces si, porque las mamas siempre cantan",que el hermanito bebe siempre grita,"papa (jajajaja) la verdad no se, solo lo puse porque no pensaba en nada mas","porque mi papa es muy bueno y paciente conmigo asi que para mi, el esta hecho de plata"
aceite,moneda,perro,"si, porque mi mama canta",mi hermano grita mucho,no se,hay monedas de plata ?no?
Juan,no ,Hermana,"no, porque las pelotas no cantan",porque todo tiene que ser una pelota,tu porque eres la unica que falta,porque las pelotas no son de plata
mango,Mateo,Hermano,"No, porque las cosas no hablan",que mi hermano grita mucho,Mi gato porque suelta mucho pelo,que es muy brillante
meteoro,canica,gato,"No, porque las pelotas no cantan",mi ? hermano se la pasa gritando,bola de pelos de los gatos,porque las canicas a veces son de plata
Rafles,Mike,Ramon,"si, porque la tecnologia hizo a Sphero una pelota robot que habla y canta",que los ninos chicos gritan mucho,la cabeza de chewbacca,una canica de plata
no,si,mama,"No, porque dice cosas extranas",porque es latoso,mi mama,no se
diablo,mi alma,cabeza,"no, porque la puedes botar, pero no va a cantar","no para de gritar, o sea yo",la axila,mi alma es de un guerrero
sol,mi papa,perro,"No, porque las pelotas no hablan*",que mi hermanito grita mucho,un perro gordo,mi papa porque es muy bueno conmigo
sol,la luna,papa,"Imaginense una pelota cantar, no es normal",Bueno si es bebe si y si no tambien grita y grita,una mascota porque mi mascota es una bola de pelos bueno esta peluda,Bueno la luna esta brillante como la plata
