ta1,ta2,ta3,ta4,ta5,ta6,ta7
loco,la moneda,papa,"no,porque las pelotas no hablan y si no hablan no cantan","que llora, que grita","Un perro, los perros tienen mucho pelo en todas partes","Una Moneda, porque las monedas están hechas de plata"
sol,papa,perro,"si, porque si con pelotas se refieren a personas entonces sí, porque las mamás siempre cantan ",que el hermanito bebé siempre grita,"papá (jajajaja) la verdad no sé, solo lo puse porqué no pensaba en nada mas","porque mi papá es muy bueno y paciente conmigo asi que para mí, el está hecho de plata"
aceite,moneda,perro,"si, porque mi mamá canta",mi hermano grita mucho,no sé,hay monedas de plata ¿no?
Juan,no ,Hermana,"no, porque las pelotas no cantan",porque todo tiene que ser una pelota,tu porque eres la única que falta,porque las pelotas no son de plata
mango,Mateo,Hermano,"No, porque las cosas no hablan",que mi hermano grita mucho,Mi gato porque suelta mucho pelo,que es muy brillante
meteoro,canica,gato,"No, porque las pelotas no cantan",mi  hermano se la pasa gritando,bola de pelos de los gatos,porque las canicas a veces son de plata
Rafles,Mike,Ramon,"si, porque la tecnología hizo a Sphero una pelota robot que habla y canta",que los niños chicos gritan mucho,la cabeza de chewbacca,una canica de plata
no,si,mama,"No, porque dice cosas extrañas",porque es latoso,mi mamá,no sé
diablo,mi alma,cabeza,"no, porque la puedes botar, pero no va a cantar","no para de gritar, o sea yo ",la axila,mi alma es de un guerrero
sol,mi papa,perro,"No, porque las pelotas no hablan*",que mi hermanito grita mucho,un perro gordo,mi papá porque es muy bueno conmigo
sol,la luna,papa,"Imaginénse una pelota cantar, no es normal",Bueno si es bebé si y  si no también grita y grita,una mascota porque mi mascota es una bola de pelos bueno está peluda,Bueno la luna está brillante como la plata
