,que mi hermanito es muy griton y esta gordito,Preprocesado,2dim,5dim,10dim,20dim,50dim,eval_og
232,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
233,es una pelota muy gritos,"['pelota', 'gritos']",0.9888827,0.016066983,0.016757365,0.0040135346,0.002070969,1
234,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
235,no ,[],0.0,0.0,0.0,0.0,0.0,1
236,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
237,que su hermano es griton *,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
238,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
239,que su hermano es griton ,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
240,que su hermano es griton *,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
241,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
242,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
243,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
244,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
245,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
246,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
247,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
248,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
249,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
250,que mi hermanito tiene una pelota de gritos,"['hermanito', 'pelota', 'gritos']",0.14557457,0.4417529,0.42416117,0.33706278,0.335454,2
251,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
252,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
253,un hermanito chiquito es un bebe que llora por comida. leche o que le cambien el panal.,"['hermanito', 'chiquito', 'bebe', 'llora']",-0.07357016,0.8547438,0.46284276,0.35947126,0.3122697,3
254,su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
255,los ninos pequenos gritan mucho *,"['ninos', 'pequenos', 'gritan']",0.72262967,-0.09271209,-0.097682886,0.0004287921,-0.000543308,3
256,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
257,su hermano grita mucho *,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
258,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
259,que su hermano es gordito como una pelota y que su hermano grita mucho,"['hermano', 'gordito', 'pelota', 'hermano', 'grita']",0.9869984,0.0145058185,0.020534195,0.2171255,0.21681654,3
260,que su hermanito grita mucho,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
261,que su hermanito grita mucho,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
262,que el grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
263,es que su hermanito es igual a una pelota que grita mucho,"['hermanito', 'pelota', 'grita']",0.30578175,0.42048913,0.42604163,0.33638674,0.33540475,3
264,porque grita mucho. pero te agrega pelota,"['grita', 'pelota']",0.39851648,0.011152446,0.025251955,0.0033787861,0.001884643,2
265,que su hermano grita mucho *,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
266,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
267,que su hermano llora mucho *,"['hermano', 'llora']",0.96544343,0.025388025,-0.01983349,-0.0009468645,-0.00038132817,3
268,que su hermano grita mucho *,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
269,mi hermano grita mucho *,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
270,que su hermano grita mucho *,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
271,que su hermano grita mucho *,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
272,qu tu hermano grita mucho*,"['qu', 'hermano', 'grita']",0.89787847,-0.0015485808,0.0014955923,-0.005133271,-0.0021374822,3
273,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
274,que grita mucho*,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
275,que grita mucho*,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
276,que su hermano grita mucho *,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
277,que su hermano llora mucho *,"['hermano', 'llora']",0.96544343,0.025388025,-0.01983349,-0.0009468645,-0.00038132817,3
278,que su hermano grita mucho *,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
279,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
280,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
281,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
282,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
283,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
284,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
285,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
286,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
287,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
288,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
289,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
290,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
291,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
292,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
293,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
294,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
295,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
296,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
297,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
298,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
299,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
300,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
301,NS,['NS'],0.0,-0.31718928,0.0,0.0,0.0,1
302,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
303,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
304,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
305,mi hermano tiene una pelota de gritos,"['hermano', 'pelota', 'gritos']",0.9623498,0.005274985,0.004295271,0.0027193986,0.0013655946,1
306,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
307,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
308,mi hermanito tiene una pelota de gritos,"['hermanito', 'pelota', 'gritos']",0.14557457,0.4417529,0.42416117,0.33706278,0.335454,1
309,es una presion,[],0.0,0.0,0.0,0.0,0.0,2
310,la pelota tiene gritos,"['pelota', 'gritos']",0.9888827,0.016066983,0.016757365,0.0040135346,0.002070969,1
311,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
312,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
313,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
314,que su hermana es una pelota de gritos,"['hermana', 'pelota', 'gritos']",0.9644948,0.012466691,0.0135999285,-0.003021976,0.0007220935,1
315,que su hermano grita mucho *,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
316,que su hermano grita mucho ,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
317,que su hermano es una pelota y que grita,"['hermano', 'pelota', 'grita']",0.8992274,0.0016575642,0.012001041,0.002207987,0.0012138784,2
318,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
319,porque grita cada rato,"['grita', 'rato']",0.35702512,0.0113442,0.019295953,-0.013758399,0.003445262,3
320,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
321,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
322,que su hermano grita o llora mucho*,"['hermano', 'grita', 'llora']",0.8883536,0.025422044,-0.005429983,-0.00017940998,-0.00020955503,3
323,qu su hermano grita mucho*,"['qu', 'hermano', 'grita']",0.89787847,-0.0015485808,0.0014955923,-0.005133271,-0.0021374822,3
324,fer rovin,[],0.0,0.0,0.0,0.0,0.0,1
325,que grita,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
326,que es gritona,['gritona'],0.7326035,-0.22074252,-0.026380498,0.011890962,-0.0006639166,3
327,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
328,que su hermano grita,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
329,que grita mucho*,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
330,que su hermano es una pelota y grita para que lo ayuden,"['hermano', 'pelota', 'grita']",0.8992274,0.0016575642,0.012001041,0.002207987,0.0012138784,3
331,que grita mucho*,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,0
332,el nino siempre esta gritando,"['nino', 'gritando']",0.8789541,0.19805858,0.048224624,0.0020820964,-0.0012131445,3
333,que esta gordito y grita mucho,"['gordito', 'grita']",0.35802978,0.05655332,0.060150452,0.4050941,0.4052146,3
334,que el hermanito grita todo el dia*,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
335,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
336,es decir. que grita el hermanitp y la pelota,"['grita', 'pelota']",0.39851648,0.011152446,0.025251955,0.0033787861,0.001884643,2
337,que su hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
338,mi hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
339,porque es gordito y grita mucho*,"['gordito', 'grita']",0.35802978,0.05655332,0.060150452,0.4050941,0.4052146,3
340,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
341,mi hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
342,que grita mucho*,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
343,que grita mucho todo el tiempo. es porque esta feliz,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
344,a mi me gusta jugar futbol con la pelota porque suena,"['gusta', 'jugar', 'pelota', 'suena']",0.9629104,-0.008013908,0.0071509928,-0.01173763,-0.0024434924,2
345,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
346,que cuando quiere algo grita o cuando juega grita mucho,"['grita', 'juega', 'grita']",0.35439625,0.0193916,0.02499919,-0.00069865026,-0.0035120305,3
347,porque es muy griton. muy latoso.,"['griton', 'latoso']",0.69046104,0.853808,0.7422815,0.58916414,0.4106886,3
348,que su hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
349,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
350,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
351,que como su hermanito grita mucho. tiene una pelota de gritos,"['hermanito', 'grita', 'pelota', 'gritos']",0.32107887,0.37521577,0.37510142,0.29219308,0.2904351,2
352,porque grita mucho y la pelota al rebotar suena,"['grita', 'pelota', 'rebotar', 'suena']",0.39605203,0.006355472,0.021302428,-0.0034289546,0.00085121766,2
353,mi hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
354,mi hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
355,que siempre grita,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
356,chilla mucho cuando no tiene lo que quiere,['chilla'],0.97769916,-0.4156014,-0.2257264,-0.010750808,-0.00045545166,3
357,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
358,que su hermanito es muy griton,"['hermanito', 'griton']",0.9954296,0.9993245,0.9969079,0.8189119,0.81840175,3
359,que siempre esta gritando,['gritando'],0.6934382,0.040427476,0.05069626,0.0019279756,-0.0035805888,3
360,que tiene muchos granos ***,[],0.0,0.0,0.0,0.0,0.0,1
361,mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
362,que grita mucho y es muy travieso,"['grita', 'travieso']",0.36315018,0.019433469,0.021173703,6.66501e-05,-0.00026073446,3
363,que hace mucho berrinche o emocion,['berrinche'],-0.14921454,0.0313636,0.030053638,-0.03708972,0.0042539323,3
364,mi hermano grita mucho o simplemente llora mucho*,"['hermano', 'grita', 'simplemente', 'llora']",0.88978595,0.033543214,0.0012605563,0.0042329803,0.0024435297,3
365,que su hermano esta gordito y grita mucho,"['hermano', 'gordito', 'grita']",0.89347935,0.031178497,0.033477753,0.3299623,0.330271,3
366,al decir pelota puede que sea que brinca mucho y grita,"['pelota', 'brinca', 'grita']",0.4001575,0.009400044,0.022695666,0.0012894403,-0.0007221494,1
367,porque no le gusta que rebote la pelota,"['gusta', 'pelota']",0.9732209,-0.0015701279,0.012391333,-0.0020535514,0.0014455467,1
368,que su hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
369,que llora de todo porque es muy pequeno,"['llora', 'pequeno']",0.5296925,0.63213307,-0.0077895485,0.0012842729,0.00017856807,3
370,mi hermanito grita mucho,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
371,porque reganan mucho los hemanos,['hemanos'],0.5990725,-0.16650678,-0.07004171,0.0013749143,0.0047520273,3
372,su hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
373,mi hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
374,es porque siempre grita,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
375,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
376,mi hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
377,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
378,su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
379,que su hermanito tiene guardado muchos gritos,"['hermanito', 'gritos']",-0.15375379,0.7424403,0.5892645,0.4116111,0.41009775,3
380,mi hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
381,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
382,que su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
383,que mi hermano es muy escandaloso,"['hermano', 'escandaloso']",0.9500915,-0.008148089,-0.011601798,0.0046090633,-3.7550926e-05,3
384,que su hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
385,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
386,puedes decir que su hermanito es algo gordito y grita mucho,"['hermanito', 'gordito', 'grita']",0.26809308,0.5290141,0.51955104,0.66447353,0.6647556,3
387,que su hermano a cada rato grita,"['hermano', 'rato', 'grita']",0.8952038,-0.0004817471,0.0035633743,-0.010852657,0.0024756342,3
388,que grita mucho y llora,"['grita', 'llora']",0.36063498,0.047573388,0.003625296,0.0004475601,0.00013775751,3
389,quiere decir que el hermano grita constantemente,"['hermano', 'grita', 'constantemente']",0.8976115,-0.00053901225,0.0022911355,0.031155534,0.029460482,3
390,que mi hermano menor grita todo el tiempo,"['hermano', 'menor', 'grita']",0.89673126,-0.002512239,0.00020962954,-0.0026738122,0.00089013577,3
391,que mi hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
392,que su hermanito es el que grita mas en su casa,"['hermanito', 'grita', 'casa']",0.25975907,0.52228606,0.50201946,0.4108706,0.41016874,3
393,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
394,que mi hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
395,porque no para de gritar,['gritar'],0.7222045,0.26707768,0.0038052732,0.002535114,0.0010833116,3
396,que grita sin parar con una pelota,"['grita', 'parar', 'pelota']",0.39746556,0.009345904,0.024287742,-0.0020830072,0.00024617463,2
397,que los ninos chiquitos hacen mucho berrinche,"['ninos', 'berrinche']",0.8781998,-0.032233343,-0.08271076,-0.0037343116,0.0019374283,3
398,que su hermano es muy griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
399,que su hermanito grita demasiado,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
400,mi hermanito es muy griton,"['hermanito', 'griton']",0.9954296,0.9993245,0.9969079,0.8189119,0.81840175,3
401,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
402,mi hermanito es de berrinches,"['hermanito', 'berrinches']",-0.21996376,0.8622419,0.6777696,0.5674096,0.5452188,3
403,que su hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
404,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
405,mi hermano brinca mucho y llora de a gritos,"['hermano', 'brinca', 'llora', 'gritos']",0.965467,0.037776753,-0.016330898,-0.0013483167,-0.0021473244,3
406,que grita mucho*,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
407,es como si su pelota hace mucho ruido por eso dice. es una pelota de gritos,"['pelota', 'ruido', 'pelota', 'gritos']",0.97753966,0.012414839,0.017746363,0.004911188,0.0022614785,2
408,porque mi hermanito es gordo de muchos gritos,"['hermanito', 'gordo', 'gritos']",-0.106757015,0.7392106,0.5945484,0.34286922,0.3353009,3
409,que su hermano siempre esta gritando y saltando,"['hermano', 'gritando']",0.93723273,0.014037132,0.021679759,0.00065244734,-0.0029172003,3
410,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
411,quiere decir que su hermanito grita mucho en casa,"['hermanito', 'grita', 'casa']",0.25975907,0.52228606,0.50201946,0.4108706,0.41016874,3
412,que a su hermano le gustan los gritos,"['hermano', 'gustan', 'gritos']",0.95195246,0.0036603212,-0.010819867,0.0007133186,-0.00020163506,2
413,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
414,que el hermano es ruidoso,"['hermano', 'ruidoso']",0.9524709,-0.006602429,-0.012072012,-0.0017922297,-0.00032179803,3
415,que es una persona que no para de gritar,"['persona', 'gritar']",0.95554346,0.035772175,-0.012290408,0.0005246755,0.00080483034,3
416,que su hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
417,su hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
418,su hermano es griton*,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
419,que su hermanito cuando llora. grita,"['hermanito', 'llora', 'grita']",0.27250522,0.51924646,0.40092698,0.33369645,0.33352992,3
420,mi hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
421,creo que quiere decir que mi hermano grita mucho pero la parte de la pelota no la entiendo,"['hermano', 'grita', 'pelota', 'entiendo']",0.89955777,-0.00015417859,0.00889796,-0.003731463,-0.0056018718,2
422,quiere decir que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
423,el hermano siempre esta gritando como una pelota que siempre rebota,"['hermano', 'gritando', 'pelota', 'rebota']",0.9483212,0.012076668,0.02722001,-0.0004166998,-0.0029667206,3
424,porque mi hermanito es muy latoso,"['hermanito', 'latoso']",-0.22865501,0.8684741,0.6945831,0.5799389,0.4084583,2
425,que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
426,mi hermano grita mucho*,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
427,que no para de llorar ni  quejarse y llorar y a cada rato esta gritando,"['llorar', 'llorar', 'rato', 'gritando']",0.7374135,0.058470964,0.06581051,-0.0123996325,-0.0010980647,3
428,por que hace mucho ruido,['ruido'],0.9715623,0.07992606,0.030327182,0.0029108375,0.000112241134,3
429,"que es un hermano que grita mucho, mas de lo normal :v","['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
430,que es una persona gritona,"['persona', 'gritona']",0.9831433,-0.32844862,-0.023748156,0.002198305,-0.00042308494,3
431,porque el nino grita mucho,"['nino', 'grita']",0.35814312,0.14089799,0.026857026,0.0014609843,0.0014331862,3
432,es muy griton,['griton'],0.6898538,0.84970593,0.73243403,0.5821683,0.580258,3
433,que grita todo el tiempo,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
434,que su hermano es un griton,"['hermano', 'griton']",0.91396564,0.5080292,0.5029552,0.41005918,0.4095118,3
435,porque su hermanito sube demasiado la voz,"['hermanito', 'voz']",-0.24048126,0.86152375,0.68625,0.57154834,0.5670097,3
436,se refiere a que el hermano grita y el poeta ve a mundo como pelotas,"['refiere', 'hermano', 'grita', 'pelotas']",0.8965806,0.01862251,0.020087503,0.0030638613,0.0011320151,3
437,porque talves su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
438,por el grita,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
439,que no se esta en silencio jajajajaja,[],0.0,0.0,0.0,0.0,0.0,3
440,que su hermano puede gritar por que no tiene una pelota de pelos,"['hermano', 'gritar', 'pelota', 'pelos']",0.95605934,0.0048304386,0.00025420263,2.8338283e-05,-0.00021431595,3
441,como esta pequeno da lata,"['pequeno', 'lata']",0.587329,0.54688776,0.043251716,0.0011835955,-0.00046316255,3
442,que es bien yoron,[],0.0,0.0,0.0,0.0,0.0,3
443,cuando al hermano no le compran nada se pone gritar,"['hermano', 'pone', 'gritar']",0.94688857,0.008411363,-0.0088005215,0.0005951077,-0.0001457259,3
444,que su hermano es una pelota que grita,"['hermano', 'pelota', 'grita']",0.8992274,0.0016575642,0.012001041,0.002207987,0.0012138784,3
445,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
446,que abla mucho o grita,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
447,que la nina se la pasa llorando o asiendo berrinche :v,"['pasa', 'llorando', 'berrinche']",0.70855755,0.06042836,0.06026181,-0.01774682,-0.00050923973,3
448,por que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
449,que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
450,de que su hermano grita mucho,"['hermano', 'grita']",0.8962393,0.0001706928,0.0026979297,5.8166683e-05,-0.00026975572,3
451,por que grita,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
452,por que no habla en voz baja,['voz'],-0.24801081,0.7903589,0.2238266,0.04353158,0.02158307,3
453,por que grita mucho,['grita'],0.3555041,0.012354055,0.018312858,0.0010242537,0.00017563999,3
454,mi hermanito grita mucho,"['hermanito', 'grita']",0.26460338,0.51398647,0.4960323,0.40824375,0.4081408,3
