,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
129,porque le da a una objeto inm�vil e inerte una aptitud de un ser vivo de manera objetiva las pelotas no cantan,que su hermano es una persona muy ruidosa,una mascota de casa,la luna es contrario del sol y tendr�a sentido mencionar ambos en el poema tambi�n el color de la luna es parecido al de la plata,rizado y quebrado,brillantes limpios y blancos,amable respetuosa y c�lida,fr�a y falsa,cosas que se quieren olvidar y abandonar,que las cosas tendr�n un resultado mejor al esperado,que tiene un brillo claro y transparente,porque las estrellas pueden y tienen un color claro y semejante al del cristal,que esta hecho de tela,porque as� est�n hechos los vestidos hoy en d�a,que est�n hechos de miel,la miel es una sustancia liquida y no es un material que se pueda usar para hacer zapatos,que es una escultura hecha de piedra,porque la gran parte de las esculturas est�n hechas de piedra y porque la piedra es moldeable y moldeable,que es una persona de personalidad dura y fuerte,porque subjetivamente puedes tener una alma que se asemeje al hierro fr�a resistente y fuerte,que te ofrece calidez y seguridad,porque para las personas que viven en la calle la banqueta se puede volver un lugar conocido y donde se sientan c�modos y seguros,que la silla llego a un lugar,porque las sillas no se pueden moverse,que los atletas son corredores,porque los atletas se dedican a correr los que hacen atletismo o maratones,que tienes el tiempo suficiente para hacer algo,porque puedes lograr un objetivo en el tiempo que te propongas
130,las pelotas no cantan,siempre grita,gato,la luna parece plata,feo,blancos y limpios,cari�osa y linda,sonrisa cristalina,esta en el pasado,que pronto las cosas mejoraran,que brillan mucho,si puede brillar demasiado,tejidos,por que si existen,que son color claro,no porque no existen,forma de piedra,si porque ya se ha hecho,que es irrompible,no es posible,grande,no abrigan las banquetas,que ya hay silla,las sillas no se mueven solas,que los atletas generalmente corren,ellos corren,que pronto llegara,no se mueve el tiempo como algo
131,porque una pelota no tiene vida por lo tanto es imposible que cante,quiere decir que todo el tiempo esta gritando sin parar,un gato acurrucado,que es alguien que vale mucho o alguien que es pesado,que tiene el pelo muy feo,dientes muy brillantes blancos limpios y hermosos,es una persona tierna cari�osa y linda,sonrisa falsa,ya paso y se quedo atr�s,que no importa si tuviste un mal d�a porque el pr�ximo puede ser mejor y tu puedes mejorar,son focos,pueden haber focos en forma de coraz�n,que se visten muy elegantes,porque los vestidos trajes etc son hechos de tela,se rompen muy f�cil,por que hay zapatos que se rompen f�cilmente,una persona muy seca,porque hay personas que no son sociables y les gusta estar solos y tranquilos,una persona muy dura,porque hay personas que se exigen demasiado,que a donde vallas te sentir�s acompa�ado,porque no en todos los lugares te vas a sentir como en tu casa,que alguien llego a ayudarte,por que puedes estar en aprietos y puede llegar alguien para ayudarte,que cada quien hace el trabajo que le corresponde,que sea lo que tengas que hacer lo haces porque te gusta hacerlo,puedes hacer todas las cosas que tu quieras en el tiempo que quieras mientras sepas acomodar tu tiempo,por que si acomodas tu tiempo y lo administras bien puedes hacer muchas cosas
132,porque antes dice que la pelota es su mama,que su hermanito es muy grit�n que su hermanita esta muy loco,un perro,pues la luna tiene forma de pelota y su color es parecido a la plata,despeinado y duro,muy blancos y limpios,buena persona,fr�a y muy blanca,ya paso,que no nos preocupemos aunque hoy fue un d�a malo ma�ana sera mejor,que son muy cristalinas y blancas,porque tiene sentido,un vestido hecho de tela,porque si existen estos vestidos,zapatos amarillos,los zapatos pueden ser de varios colores,una escultura hecha de piedra,porque estas esculturas ya existen,una persona con un esp�ritu muy fuerte,porque es un dicho popular,una banqueta muy segura,0,que ya llego el que trae las sillas,porque alguien puede traer las sillas,que los atletas pueden correr,porque los atletas corren,tienes tiempo suficiente,porque es un dicho popular
133,porque no,que grita mucho,perro,pues que es de plata,zacate,de perla,dulce,helada,nada,que va a ver mejores tiempo,una estrella de cristal,pues con un cristal haces una estrella,pues que el vestido de telas,pues porque casi todos los vestidos son de tela,un zapato de miel,pues no se,pues no s� que es eso,0,pues no se puede,pues no s� que es eso,0,0,pues ya llego la silla,pues si o manches,pues que los atletas corren,pues los atletas lo que hacen es correr,el tiempo no alcanza,el tiempo no alcanza
134,porque las pelotas no son seres vivos y no cantan,quiere decir que su hermano grita mucho,un perro,es una luna debido a que los colores son parecidos a la plata y es lo contrario al sol que fue mi respuesta en pelota de fuego,maltratado,blancos y relucientes,amable y dulce,g�lida,se termino ya es de d�a,mejores cosas est�n por venir,estrellas hechas de cristal,porque las estrellas son un cuerpo celeste,el material de los vestidos es de tela,porque lo tenemos,los zapatos son color miel,literalmente no pero si hay zapatos color miel,la escultura es de piedra,si es posible debido a que hay esculturas de piedra,que tiene actitud dura,se puede tan solo en sentido figurado,que te sientes seguro en la computadora,es posible porque nos sentimos seguros fuera de la banqueta,0,no es posible debido a que no tiene sentidos,que los deportistas corren,es posible debido a que es un hecho en su mayor�a,que el tiempo no es limitado sin embargo suficiente,es posible debido a que el tiempo puede llegar a ser suficiente
135,no porque no pueden cantar,que grita,mi perro,que es de plata,de zacate,de perla,dulce,de hielo,quedo atr�s,que vendr�n tiempos mejores,porque son de fuego,porque son de fuego,que se pueden hacer de tela,porque existen,porque no estar�an fijos,porque no estar�an fijos,porque son de piedra ,porque son de piedra,porque no esta comprobado si hay alma,porque no esta comprobado si hay alma,no se puede porque las banquetas son para caminar,porque las banquetas son para caminar,que la silla ya llego,porque llego,porque a eso se dedican,porque si son atletas corren,aun hay tiempo,porque aun hay tiempo
136,porque las pelotas no cantan,que mi hermano tiene mucha energ�a,un gato,es la luna porque su color es brillante y puede tener una forma de pelota,largo desordenado,perfectos brillantes blancos,dulce linda amable,muy fr�a casi sin notarse,que ya paso y llego el d�a,que estas pasando por un tiempo dif�cil y esperas a que vengan cosas mejores,una estrella muy brillosa,yo creo que si es posible en doble sentido ya que puede significar una estrella muy brillante o una estrella hecha de cristal literalmente,un vestido hecho de tela,es posible porque un vestido esta hecho generalmente de tela,ponerte en los zapatos de alguien agradable,no porque literalmente no son posibles los zapatos de miel,una escultura hecha de piedra,si es posible porque puedes hacer una escultura de piedra,una persona con un alma muy fuerte muy segura,literalmente no es posible ya que porque el alma ni siquiera es tangible,0,0,que algo ya llego,porque la silla no no llega sola,que los atletas corren,si porque un atleta generalmente corre sin importar el deporte,que el tiempo en realidad esta ya sea contigo a tu ritmo o correte�ndote y a veces te alcanza,porque en realidad el tiempo si te alcanza
137,porque una pelota no canta,que es muy peque�o y grita,0,porque la luna es as�,es como feo y tieso,muy blancos,muy cari�osa,muy fr�a,ya paso,que el futuro sera mejor,que son brillantes,es una referencia,que es de tela el vestido,pues porque de eso est�n hecho,que son color miel,porque no pueden estar hechos de miel,que la escultura esta hecha de piedra,porque algunas esculturas est�n hechas de piedra,que tienes el alma dura,pues porque hay personas muy duras por dentro,que es muy c�moda,pues puede estar c�moda,que esta la silla ah�,pues porque no se mueven las sillas,que si creen porque todos los atletas deben de correr,pues porque todos lo hacen,que si da tiempo,pues porque si
138,porque la pelota es un objeto,que es peque�o y que grita mucho,un h�mster,porque tiene cabello de plata,que tiene picos,que son blancos,alegre buena tierna,que es una sonrisa seria,se oculto para que pase el sol,que en los pr�ximos a�os va ir mejor,es algo que no tiene sentido,es algo que no tiene sentido,son vestidos hechos con tela,si es posible por que todav�a se utiliza la tela en la ropa,es algo que no tiene sentido,es algo que no tiene sentido,son estatuas hechas de piedra,si por que en la antig�edad se utilizaba piedra y otros materiales para hacer las esculturas,es alguien con un esp�ritu fuerte,si porque algunas personas tienen un esp�ritu fuerte,no es posible,no es posible,que estaban llevando una silla,si porque estaban llevando una silla,que hay personas que corren para una salud f�sica,si porque estaban llevando una silla,que en alg�n tiempo vamos a morir,si porque en alg�n tiempo vamos a morir
139,porque las pelotas no cantan,que es muy gritona,conejo,porque el aluminio tiene un tono plateado y brilla con el sol,descuidado,limpios,amable,fr�a,amaneci�,que la situaci�n esta por mejorar,que brilla al contacto con la luz,no porque las estrellas est�n echas de materia encontrada en el espacio,que se visten con tela,porque la ropa se hace con tela,que los zapatos son caf�s,porque se le puede dar ese tono a los zapatos,que la hicieron en una piedra,porque por lo general las estatuas parten de una piedra,que es una personas dura,porque hay gente que prefiere aguantarse todo,que la banqueta puede llegar a ser un lugar c�modo,porque una banqueta no es un lugar al que las personas deban acudir pero tristemente mucha gente las considera como una cama,que recibiste tu silla,porque puede que te aya llegado por paqueter�a,que corren,porque los atletas corren en la mayor�a de los deportes,que hay suficiente tiempo,porque pierdes gran parte de tu tiempo en estudios y trabajos
140,porque al rebotar una pelota produce un sonido,no para de gritar,un llavero,es una met�fora del color,esta maltratado,blancos,linda,dura,que ya paso,siempre tendremos un d�a malo pero eso no significa que nuestra vida sera mala todos pasamos por malos momentos eso es parte de la vida la vida se trata de como podemos recibir golpes y seguir adelante se trata de esforzarse,algo muy fr�gil,pues es una met�fora,el material del vestido,porque es un material c�modo para vestir,unos zapatos c�modos,es una met�fora,el material de la pulsera,porque es com�n ver estatuas de ese material,alguien que es insensible,porque hay gente sin sentimientos,0,una banqueta no abraza,0,las sillas no caminan,la acci�n que realizan,porque es algo que ellos hacen,que el tiempo no para,porque es una met�fora
141,que su mama canta,que grita,una persona,que como es plata parece moneda o suena como una moneda,gre�udo,muy blancos,que es buena,siempre es feliz,que fue padre la noche,como un futuro,que pueda haber una estrella,que tal vez si existe una estrella de cristal,que si hay vestidos de tela,porque si hay vestidos de tela,porque no se cree que existan,porque no podr�as caminar,un dibujo en una piedra,porque si se puede pintar e una piedra,ser fuerte,pues porque si puedes ser fuerte en ti,ser como caliente,porque no puede existir,como que el gracioso ya llego,por que es como una celebridad a alguien gracioso,pues como todo deportista corre por hacer ejercicio,pues como todo deportista corre,que a veces el tiempo te alcanza o hasta te sobra,alcanza o hasta te sobra
142,porque una pelota puede ser decorada por una bocina,que mi hermano grita mucho,mi perro,pelota de plata,negro,pelota,grande,de hielo,paso el d�a,mejores vidas,puede ser una exhibici�n,porque puede ser una decoraci�n,puedes hacerlo en casa,porque los que saben costurer�a pueden hacer uno a mano,porque no existen,porque es imposible hacer zapatos de miel,porque son monumentos,porque son exhibiciones,metaf�ricamente si porque es alguien que te aconseja a pecho,porque si existe gente as�,que sentido tiene hacer una banqueta abrigadora,porque serian robadas o da�adas,si,porque puede ser enviada por correo,porque as� se mantienen en forma,porque pueden tener un buen f�sico,porque todo a su tiempo,porque todo tiene su tiempo
143,por que como que las pelotas cantan no es posible,pues que al parecer su hermano grita mucho pero no entiende la met�fora de pelota,lo que deja el gato cuando se chupa mucho,es la luna por que as� la llaman,sucio duro y feo,que est�n limpios muy bonitos relucientes,muy linda,muy deslumbrante bonita,que ya es la ma�ana ya paso,que lo feo paso ahora viene lo chido feat Luis comunica,pues que las estrellas que ves cada noche cuando pienso en ella son como cristales,por que es una met�fora las estrellas no son de cristal,que esta ello una prenda de este material,por que hay un material que se usa tela para este tipo de vestimentas,pues que vas a muy lento paso por que la miel pega,por que no se usan y no existen este tipos e zapatos,una bella y incre�ble escultura a base de piedra,por que si hay esculturas de este tipo,que eres un luchador y no te rindes sin importar que,pues estoy entre los dos por que si hay personas que lo tienen pero es f�sicamente imposible,te seguridad de estar en esta banquetas,por que me ha pasado,que ya llego la silla que pediste o que te faltaba,por que pudiste haber pedido una silla y ya llego,que coreen que usan su habilidad de moverse r�pido,por que todos lo hacemos todos los d�as,que te sobra tiempo vas sobrado,por que es que vas bien te tiempo y te sobra
144,porque que tiene que ver pelotas con su familia,que su hermano grita mucho,un gato,porque los abuelos tienen canas y son como plata,blancas,suave,ruda,feos,hace calor,que el festejo mas importante del a�o ya llego,piernas fuertes,porque hay personas con piernas fuertes,un sobre de papel,porque existen,un calendario hecho de pasto,porque estar�a hecho de pasto,carb�n que quema,porque el carb�n se calienta,ojos feos,porque puede haber personas con ojos feos,calceta gris,porque hay calcetas grises,que alguien trae cebolla,porque una persona puede traer una cebolla,que las gaviotas pueden volar,porque las gaviotas vuelan,que va a ser de noche,porque eso pasa
145,porque no se entiende,se refiere a que es una persona que grita,alguien que es buena onda,de buena suerte,blancas,suave,ardiente,amargos,que viene,que la navidad llego,que son piernas que son muy fuertes y no se rompen,no porque todo cuerpo re puede romper,que es un sobre hecho de papel,si porque existen los sobres,que hay un calendario de zacate,porque no tiene sentido,que el carb�n esta encendido,porque lo puedes prender con fuego,es un animal,porque existe,no se entiende,no es posible,no tiene sentido,no se entiende,que vuelan,porque tienen alas,que llaga la noche,porque se acabo el d�a
146,porque no tiene relaci�n una pelota cantante con una figura materna,que su hermano hace mucho esc�ndalo,un h�mster,porque la luna brilla como la plata y es precisamente una pelota,blancas,tersa,provocativa,no agradables,ya viene,que la navidad ya llego,que son muy fuertes,porque yo las tengo de acero,que hay un sobre de papel,pues porque existen sobre de papel,0,porque si se puede,carb�n cliente,porque es un hecho que el carb�n arde,una expresi�n,porque es una expresi�n,una calceta de plata,porque no existe tal cosa,que puede llegar su olor por ejemplo a las mucosas y expulsar secreciones,por lo antes mencionado,que vuela esta ave,por que es una ave que vuela,que noche esta cerca,porque diariamente ocurre este fen�meno natural
147,probablemente la pelota se refiere a la persona,que hecha mucho relajo,un perro,cuando la luna sale parece reflejar como si fuera plata,blancas grises,delicada,atenta interesada,negros,llueve hace calor,que hace frio,est�n muy fuertes,por que literalmente no se puede,que tus pensamientos son delicados pero no los puedes compartir,por que hay gente as�,que hay tiempo para todo,no creo que haya calendarios de zacate,que esta muy caliente algo,te pueden hacer enojar,que son negros tus ojos,por que existe gente con ojos negros,que tienes mucha suerte,que yo sepa no existen calcetines de plata,alguien te puede hacer sentir mal y lloras,por que algunas personas les pasa,que nunca vas a tener nada para siempre,por que las gaviotas vuelan,que se acerca la obscuridad,por se hace de noche
148,porque antes dice que la pelota es su mama,porque su esta loco,un perro,por que la luna es blanca y la plata tambi�n,blancas,tersa,intensa,esf�ricos,vacaciones,llego la fecha,que son piernas fuertes,por que las pr�tesis tiene acero,sobre hecho de papel,porque ya existe,un calendario hecho de ese material,todo es posible en las vida,que el carb�n se esta calentando,por que con las carnes asadas ya se tiene que calentar el carb�n,ojos con mirada intensa,porque no,0,si con un molde pero nadie se la pondr�a,que alguien te la lleva y llega,por que alguien puede venir con cebollas,las aves son libres volando,por que como las gaviotas son aves y vuelan,que ya paso el d�a,por la rotaci�n que crea el d�a y la noche
149,porque es un objeto no habla,que grita demasiado,un perro,pelota de hierro,esponjosas,suave,caliente,como un chocolate,caliente,santa,piernas rob�ticas,porque si,que es un sobre para mandar cartas,porque si,que es un calendario de un zacate,porque no,que prende lumbre,porque si,porque son color chocolate amargo,no,0,no,no lo,no se puede,que pueden estar por lo aires,0,d�a es die,no
150,por que las pelotas no hablan,es que su hermano es muy hiperactivo,un perro,de que vale mucho,son de leche,de seda,muy ardiente,amargos,viene en camino,una �poca,si son pr�tesis,si por que son pr�tesis,que es un sobre dise�ado con papel,porque ya existe,calendario de pasto o monte,si por que se pueden hacer tejidos,carb�n ardiente es un pedazo de madrera,porque ya existe,que te entro cebolla en el ojo,si porque se puede,tal vez podr�a ser,porque se puede,tiene olor,si,animales que vuelan,si porque ya existe,que es ora de dormir en tu colch�n spring air,si
151,porque esta hablando de sentido figurado y de la vida y de la familia,que el hermano se la pasa gritando,un problema grande y confuso,que es de menor valor que la de fuego menos importancia quiz�s,nubes muy blancas y muy juntas,muy suave,una mirada muy fija,ojos que lloran puede que lastimen en sentido figurado,el verano esta por llegar,que es tiempo de celebrar la navidad,que son piernas muy fuertes,porque as� es como hablamos nosotros en la actualidad,que hay algo escrito que no cambia,porque estamos poniendo algo sobre la mesa,pues que es un calendario muy duro que se usa diariamente,porque el zacate es algo que usas para ba�arte,un carb�n que esta muy caliente,porque cuando el carb�n esta muy caliente se pone rojo y arde,unos ojos que lloran que tienen problemas,porque puede que as� lo figure la gente,que es una calceta de alto valor,porque no se puede tener una calceta que es de plata,la cebolla llega es decir esta por llegar,porque la cebolla no es un ser vivo o una estaci�n del a�o que llega as� como as�,pues que las gaviotas pueden volar,porque las gaviotas si vuelan,que ya es tarde y la noche va a llegar,porque diario pasa este evento
152,una pelota no canta,que hace mucho esc�ndalo,un perro,ella te alumbra,suaves,suave,fija y concentrada,llorosos,viene,paso algo bueno,estar fuerte de las piernas,una persona esta hecha de carne y hueso el acero se le agrega pero no tiene piernas de acero,una carta,por que es lo que se usa en la actualidad,muy ocupado,por que se puede hacer,calor,por que se ponen en la chimenea,estar enojado,por que no sabe a eso los ojos,caminas mucho,por que es algo que ya existe,te huele mal la boca,por que te pueden mandar cebollas,que vuelas,por que lo vi en un documental,que atardecer�,por que la noche siempre llega
153,es una persona alegre,que es muy alborotado,una de tenis,es valioso,nubes blancas,piel suave,enamorado,ojos malos,es divertido,llega el amor,una pr�tesis,porque existe,que es lo mas com�n,ya existen,es raro,son cosas distintas,que esta a rojo vivo,es com�n,no se comen,es raro,una calceta fina,no es literal,0,no se entiende,que vuelan,lo hacen,que es tarde,es metaf�ricamente
154,no se refiere a nada,que siempre se la pasa gritando,se podr�a referir a un animal en forma de met�fora,porque la luna es blanca y parece plata,blancas,suave,mirada fuerte o pesada,claros,vacaciones o calor,se acerca diciembre,que tienes piernas de acero en lugar de piernas de carne u hueso,es posible porque existen pr�tesis que son de acero,que el sobre donde guardas documentos o papeles es de papel,porque los sobres normalmente son de papel,0,no tiene sentido,que el carb�n esta caliente,porque normalmente el carb�n se utiliza para prender o calentar algo,se refiere a una met�fora,porque hay cosas que tienen doble sentido y pueden existir aunque no tengan sentido,no tiene sentido,0,no tiene sentido,0,que un p�jaro que su especie es la gaviota vuela,porque los p�jaros vuelan,que el sol se esta escondiendo,porque el d�a dura 12 horas y la noche 12 horas
155,porque ella no puede hablar,que es gordito y grita mucho,un perro,porque es muy valioso,blanca,suave,fuerte,amargos,hace mucho calor,que llego la navidad,significa que tienes piernas dura,porque vas al gimnasio,que es un papel doblado,porque puedes doblar el papel,no se que significa,porque no se que significa,que el carb�n arde,porque le pusieron fuego,que hace caras,porque haces caras,que es una calceta de plata,porque la pueden hacer con plata,que el olor apesta,porque no te ba�aste o no cepillaste los dientes,que vuelan,porque tienen alas,que es tarde,porque es tarde
156,simplemente no,que siempre grita,un peluche peludo,una bala de plata,h�medas y blancas,muy suave,mirada fuerte,con vista no agradable,pues ya viene ,pues es 25 de diciembre ,piernas muy fuertes,es posible con mucho entrenamiento,un sobre para meter contenido pero hecho de papel,si ya existen ,un calendario hecho con zacate,si pero complicado mantenerlo bonito,carb�n muy caliente,si cuando te haces la carne asada,con una vista no muy agradable,por que hay gente con esa vista amarga mala,0,no seria muy pesado y incomodo,el que nunca se ba�a,si hay mucha gente cochina,un ave que vuela,si las todos los d�as,ya va a oscurecer,si siempre
157,tal vez la pelota esta representando a una persona,mi hermanito es gordito y es grit�n,un gato,se refiere a la luna,blancas,suave o delicada,que ves algo que te gusta,alguien que no le gusta nada de lo que ve,hay sol y lluvia,que la navidad esta por llegar,que tienes piernas fuertes,no se puede tener piernas de acero,que tus pensamientos son delicados,porque si se pueden hacer sobres de papel,que hay tiempo para todo,porque no hay calendarios de zacate,que esta muy caliente algo,porque el carb�n si es ardiente,que son negros tus ojos,porque los ojos no se amargan,que tu calceta tiene suerte o un valor sentimental,no hay calcetas de plata,cuando llega alguien que te hace llorar,porque ha me ha pasado,que las gaviotas vuelan,porque la,que el sol ya se esta ocultando,si se puede porque cuando ya no hay luz es de noche
158,porque la persona puede cantar,que grita,gato,una jarra que es como una pelota,de leche,de seda,ardiente,amargos,viene,que la alegr�a llego,fuertes,porque te puedes ejercitar,0,porque si se puede,0,porque si se puede,carb�n caliente,porque el carb�n normalmente es caliente,ojos de calor,porque si se puede,calceta fuerte,porque si hay calcetas fuertes,que llega el olor,porque huele fuerte,que vuelan,porque son aves,que se pone oscuro,porque si pasa
159,no le veo el sentido,que su hermano siempre esta gritando,un mech�n de pelo,la fortuna,blancas como la leche,sedosa como la piel,algo que transmite sentimientos,amargos a veces como tus ojos,llueve a c�ntaros,que la felicidad ya viene,piernas muy fuertes y resistentes,creo que es posible por que la gente mediante el ejercicio puede llegar a fortalecer sus piernas,un sobre muy delicado lo tome literal,creo que si es posible por que los sobres de papel ya existen,que los d�as que est�n en el calendario son muy buenos o malos,no por que no se puede hacer un calendario de zacate,alguien que se esta enojando mucho o una situaci�n complicada,si por que existe el carb�n ardiente y tambi�n por que las personas se pueden enojar y encontrar en situaciones dif�ciles,que una persona tiene una mirada fea o extra�a,si por que vi�ndolo de forma figurada las personas pueden hacer miradas feas o poco comunes,opino que esta relacionado con la buena fortuna o el dinero,si por que la gente puede tener mucha suerte o dinero,que alguien con una actitud pesada o mala esta viniendo,si por que la gente puede tener malas actitudes y de forma literal las cebollas ya existen,respondiendo a algo muy obvio,si por que de forma literal las gaviotas realmente vuelan y de forma figurada hablamos del algo obvio que puede pasar,lo tome literal por que no lo hab�a escuchado antes,si por que la noche es un proceso natural que no se puede detener
160,tal ves hace ruido,que no para de gritar,un perro,pelota de dinero,blancas,de tela,caliente,ojos �cidos,que ya casi,ya es navidad,como unas pr�tesis,si porque hay gente que las usa,un sobre hecho de papel,porque seg�n yo los sobres est�n hechos de papel,planta,porque sirve como hoja,carb�n caliente,porque el carb�n es caliente,como una infecci�n,porque hay infecciones en los ojos,plata mineral,no creo que se pueda,que la cebolla te viene el olor,por que el olor siempre te llega,que las gaviotas vuelan,porque tienen alas para volar,que se va del d�a a la noche,por que es natural eso
161,cuando dice pelotas se refiere a seres,que su hermano grita mucho y no sale de su circulo,alg�n otro animal,ella tiene una mirada de plata,blancas,c�moda,mala,amargos,va a venir,que ya es navidad,que hay personas que tienen las piernas duras,por que las personas se ejercitan tanto,es posible hacer un sobre de papel,por que se pueden hacer sobres de papel,un calendario hecho con un zacate,por que no es posible formar eso,mal humor,cuando una persona esta enojada metaf�ricamente se le dice que esta ardiendo,mala mirada,mirar a alguien mas con cara de odio,calcetas hechas de plata,no es posible por que no se pueden hacer calcetas de plata,la cebolla va a venir,es posible que te traigan cebollas,las gaviotas pueden volar,es un ser que vuela,esta atardeciendo,por que anochece todos los d�as
162,porque las pelotas no cantan,un humano gordo que no para de chillar,una pelota de tenis,0,delgada,amarillas muy brillantes,fr�os,tibia,va muy lento,el tiempo va muy r�pido,de un color parecido al de la miel,porque si hay ya lo puse,un maldito collar de perlas,porque yo tengo los he visto y es posible,0,que no es posible,pues que la comida tiene sal,porque le puedes poner sal a lo que sea,un abrazo tierno,si es posible porque he dado abrazos tiernos,0,0,que un horno se acerca a algo,no pueden caminar,que el tren no viaja las cosas o personas adentro son las que viajan,0,que los d�as pasan,usamos mucho esa referencia
163,por que puede ser no literalmente,que grita mucho,otro animal peludo,por que dicen que la luna es de plata,fr�gil,de color amarillo,sin sentimientos,poco c�lida,no esta avanzando r�pido,que hay que aprovechar el tiempo,ojos bonitos,por que se dice que tienes ojos de miel,que tienes un collar de perla,por que hay collares de perlas,que hay escobas hechas de cristal,por que se pueden hacer escobas de cristal,que la comida tiene mucha sal,por que se le puede poner mucha sal,que son c�lidos,por que hay personas que te dan abrazos as�,que un l�piz no tiene sabor,por que los lapices no son para comer,que los hornos se est�n acercando,por que los hornos no se mueven,que el tren esta viajando,por que los trenes viajan,que pasan r�pido,por que se dice que los d�as corren
164,por que puede ser no literalmente,que grita mucho,otro animal peludo,por que dicen que la luna es de plata,fr�gil,de color amarillo,sin sentimientos,poco c�lida,no esta avanzando r�pido,que hay que aprovechar el tiempo,ojos bonitos,por que se dice que tienes ojos de miel,que tienes un collar de perla,por que hay collares de perlas,que hay escobas hechas de cristal,por que se pueden hacer escobas de cristal,que la comida tiene mucha sal,por que se le puede poner mucha sal,que son c�lidos,por que hay personas que te dan abrazos as�,que un l�piz no tiene sabor,por que los lapices no son para comer,que los hornos se est�n acercando,por que los hornos no se mueven,que el tren esta viajando,por que los trenes viajan,que pasan r�pido,por que se dice que los d�as corren
165,porque las pelotas no cantan,que su hermano se la pasa gritando,un gato,que es importante,piel sensible,que son caras,que no tiene sentimientos,que la sonrisa es chida,que es un a�o malo,que el tiempo pasa r�pido,que son ojos color miel,por que es imposible que alguien tenga miel en los ojos,que los collares tienen perlas,por que en las tiendas ya venden collares de perlas,que la escoba se rompe f�cil,porque las escobas son de palo y seg�n pato cuestan 60 pesos,que la comida no es dulce,por que le pusieron sal,que sus abrazos son chidos,por que puede tener una camisa suave y cuando lo abrazas sientes su camisa,que el l�piz no tiene sabor,por que sabe a madera,que los hornos se acercan,por que los hornos no caminan,que el tren viaja,por que es lo que un tren hace,que cobos corre,por que una persona se apellida d�as y puede correr
166,por que no tiene sentido,que grita mucho que da mucha lata,lo que sale despu�s de limpiar el piso,una pelota de plata,como la que tenemos nosotros,como cualquier otra flor,normales con cualquier otra persona,Colgate,nadie sabe lo que viene en el futuro,que pasa muy r�pido el tiempo para ciertas personas,que pueden ser del color miel,si es posible,que hay collares de perlas,si es posible,0,no es posible,que hay comida salada,que si es posible,no hay abrazos suaves solo cari�osos,no es posible,que no hay l�piz de sabor,por que un l�piz no tiene alg�n sabor alguno,que no vienen,no es posible,que viaja,que si es posible por que falta el kilometraje,que pasa r�pido el tiempo,no es posible
167,porque una pelota puede ser cualquier cosa,mi hermano grita,un gato,porque desde lejos es como de plata,fr�gil,valiosas,de baja temperatura,alegre,esta aburrido,que pasa r�pido el tiempo te diviertes,color miel,porque tenemos ojos de diferentes posibles,que el collar tiene perlas,porque se hacen collares de perlas,que se rompe muy f�cil al barrer,no porque no te sirve de nada una escoba de cristal,que la comida tiene sal,si porque hay platillos salados as� como hay dulces y amargos,un abrazo sutil,si porque tu decides que tan fuerte o suave das el abrazo,que el l�piz no sabe a nada,si es posible porque todo tiene sabor y el l�piz tambi�n,que los hornos se aproximan,si es posible porque los hornos pueden estar en un cami�n que se esta acercando a mi,que el tren se tiene un viaje,no el tren no viaja las personas o cosas viajan en el,que van r�pido,no porque es solo un decir
168,porque esta bien escrita y puede ser ficci�n,quiere decir que su hermano grita mucho,un perro,creo que es una pelota color plata,de papel,de oro o de el dolor oro,fr�os o sin amor,tibia o sea sin felicidad,esta la escuela y eso es lento,que tienen muy poco tiempo,unos ojos color miel,porque hay personas que tienen ese color de ojos,un collar con perlas,porque los he visto,una escoba de cristal,porque la pueden hacer pero no servir�a,que tiene sal,porque la he probado,que son ligeros tus abrazos,porque tu le puedes poner la fuerza,que un l�piz no tenga sabor,porque todo en el mundo tiene sabor excepto el agua pero no podr�an hacer un l�piz de agua,que se acercan o sea que pueden caminar,porque no tienen piernas ni viven,va de un lado al otro,porque para eso esta hecho,que corren o sea van muy r�pido,no porque no tienen vida y porque eso es una met�fora
