,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
73,74,m,por que ninguna pelota canta :v,,de que el hermano nada mas se la pasa gritando y eso molesta,,un gato,,pues una perla xd,,blancas y sabrosas,,suave,,como el fuego,,con mala actitud,,que hay mucha divercion,,significa que hay amor y paz y regalos,,una protesis,,que si es posible por medio de una protesis,,un sobre echo de papel,,por que agarras una hoja y la doblas como carta,,no se,,no por que con el zacate te tallas,,cuando haces una carnita asada,,si por que? el carbon se calienta y pues haci haces la carnita asada,,como unos ojos biendo a una persona de mala manera,,no es posible,,no se la verdad,,pues necesitarias ser millonario pero serian muy incomodos,,que esta lista para comer,,por que la cebolla se come,,que vuelan,,por que tienen a las y pueden volar,,que es hora de dormir,,por que tenemos que dormir,,,
74,75,m,por q no tiene nd de sentido esa frase,,que su hermano grita todo el tiempo,,tu bello,,que tiene dinero,,de aire,,es suave y de diferente color,,es provocativa,,aveces de colores y algunos mas grandes que otros,,que es las semanas de vacasiones y todos felices,,que es la epoca de amor y paz,,que tengas tus piernas fuertes,,se puede con ejercicio y dias de trabajo,,no lo c bro disculpa,,no lo c,,que te largues xxdxdxdxdxd,,si se puede si se lo dices a la persona,,la calentura,,por que todos estamos calientes alguna vez,,ojos de odio,,porq toda persona tiene odio a alguien,,calceta de oro,,por q no hay calcetas asi,,no lo c,,no lo c bro,,que los pajaros vuelan,,si porq todos los pajaros vuelan,,que es de noche,,por q todos los dias s tiene q hacer de noche,,,
75,76,m,porque no se,,porque grita mucho,,un circulo,,ns,,blancas,,carnuda,,que se te quedan viendo,,redondos,,viene y se va,,en diciembre,,mas duras,,porque no nos hemos desarrollado mas,,NS,,NS,,una para banarse diario y no a cada ano,,para banarse,,carbon para hacer la carnita asada,,porque prende el carbon,,no lo se,,no c,,una calceta que vele mucho,,porque los hacen los ricos,,que cala mucho cuando picas,,porque cuando pican,,un pajaro,,si porque tienen alas,,cuando se obscurece,,porque se va el sol al otro lado del mundo,,,
76,77,m,no tiene sentido,,que es un griton,,un animal,,pues que es de plata,,son blancas,,suave,,pues como un gochan,,redondos,,se va,,y se fue,,poemas fuertes,,no,,que pueden hacer cosas sobre el papel,,pues por que no,,un calen dsario con nombre de zacate,,pues por que solo le cambian el nombre,,que esta caliente,,si por que nomas lo calientan,,que saben feo,,si,,no,,no,,una m mccosciuspu,,htaeb,,hdfn,,tum,,yrj jrrtsjr,,ththr,,,
77,78,m,no ay pelotas que ablen,,que grita mucho,,mi gato,,que tiene dinero,,blancas que flotan en el cielo,,suave,,cuando tu ves algo,,ojos llorosos y claros,,se cae las hojas,,la felicidad,,que tienes piernas que resiste,,porque las personas que no tiene pies se la pueden remplasar,,creo que una carta,,crear una,,NS,,nose que significa,,es para prender una fogata,,para aser fuego,,que estan cansados,,todos podemos tener ojos cansados,,NS,,nose,,nose,,NS,,ni lo se,,NS,,que se va aser oscuro,,llega despues de dia,,,
78,79,m,porque no son cantates,,por que esta gordo y gita,,mi conejo,,la pelota de plata es de plata,,es el vapor de la leche,,es la piel delgadita,,es una mirada de seducion,,son ojos de limon,,que viene,,pus que llego,,no se ni me interesa,,por que no,,pus papel,,papel,,NS,,NS,,que arde,,por que arde,,de limon,,de limon,,NS,,NS,,k llega y se va,,se va,,pusi,,pusi,,por que llega,,NS,,,
79,80,m,por que no es posible,,que es un ruidoso,,un gato,,una bola de plata,,de leche,,sedosa,,ardiente,,amargos,,ase calor,,que biene lanabidad,,por que son pesadas,,no porque son mui pesadas,,NS,,por que si se puede,,es como un sacate,,si es po si ble por que pueden aserlo de esponja,,es como fuego,,si porque e fuego,,no por que no es posible,,no es posible,,si es posible,,si por que pude ser un inplante de robot,,no,,noporque no puede caminar,,no,,no porque no pueden bolar,,si,,si por que se obscurese,,,
80,81,m,por que no rima con las demas,,que da mucha lata,,los pelos de los gatos,,por que vale mucho y muchos no lo aprecian,,por que son blancas,,por que es suave,,por que es muy profunda,,que no tienen sentimiento,,que va a llegar el verano muy pronto,,que ya casi todos son felices,,que algunas personas tienen fierro,,por que hay personas que tienen accidentes y necesitan unas piernas de fierro,,que es un sobre,,por que es donde meten una carta para mandarsela a una personas que estan lejos,,nada por que no existe,,no porque no existe los calendarios de zacate,,un pedazo de tronco que esta quemandose,,si por que esta calentandose,,que tienen dolor por dentro,,si por que hay personasd que sufren,,no existen,,no por que no existen calcetas de plata,,que la cebolla se esta cosechando,,si por que sirve para alimentarnos,,que pueden volar,,si por que pueden viajar de lado a a lado,,que estas oscureciendo,,si por que siempre hay una noche,,,
81,82,m,por que al botar la pelota emite un sonido,,que su hermanito grita mucho,,una pelusa,,es algo parecido a una pelota de plata,,son nubes que gotean leche,,es suave,,una mirada que avienta fuego,,ojos tristes,,es muy soleado,,que se aproximan las fiestas navidenas,,alguien que necesita de unas protesis de metal,,por que ya existen esas cirugias,,mandaste un sobre de papel,,por que si hay sobres de papel,,hay un calendario de zacate,,no existen los calendarios de zacate,,que el carbon esta quemando,,por que el carbon si quema,,que los ojos estan amargados,,por que aveces estas triste,,que hay una calceta de plata,,por que se puede inventar,,que la cebolla esta llegando,,por que te la pueden aventar,,que las gabiotas estan en el aire volando,,por que las gaviota si velan,,que ya esta oscureciendo,,por que en alguna hora del dia el dia tiene que llegar a su fin y ai es como llega oscureciendo,,,
82,83,m,por que no canta,,por que gryta mucho mi ermanito,,bolas de pelos,,por que es una pelota de plata,,de leches,,no,,la mirada noes ardiente,,los hojos no son amargos,,viene,,q la navidad yego,,que esta vien fuerte,,por que ase ejersisio,,que es un sobrede papel,,por que existe,,NS,,porque no lo conosco,,el carvon quema,,es caliente,,estas aburido,,NS,,calseta dura,,no exysten,,llega al mercado,,es temporada,,vuelan,,vuelan,,cae la noche,,NS,,,
83,84,m,una pelota no puede cantar,,por que mi hermanito grita mucho,,ns,,por que la luna tiene un color plateado o gris,,gaseosas,,suave,,fija,,cafes,,hace mas calor,,que es epoca de adviento,,que posee fuerza en las piernas,,si se ejercita lo suficiente,,que se esta sobre el papel,,si te puedes parar sobre el papel,,no se,,no serviria,,que algo esta caliente o que tiene una temperatura elevada,,por que el carbon se usa como combustible,,mirada de apatia o tristeza,,no es posible de manera literal por que los ojos no tienen sabor,,que porta calcetas de plata,,"si se podrian forjar, pero serian algo incomodas",,no se,,la cebolla no se puede mover por si misma,,que las gaviotas estan volando,,las gaviotas son aves voladoras,,que se hace de noche,,por la rotacion de la tierra,,,
84,85,m,por que se refiere a una persona que canta,,que su hermano grita mucho,,una cabeza,,el anillo es redondo,,blancas,,suave,,centrada,,ojos secos,,se acerca,,es la epoca de navidad,,piernas duras,,por que tiene sentido,,algo arriba del papel,,por que se pueden poner cosas arriba del papel,,NS,,NS,,el carbon esta caliente,,dependiendo,,ojos secos,,por que si,,NS,,por que no seria facil de poner,,que viene una cebolla,,por que la pueden traer,,las gaviotas vuelan,,por que tienen la capacidad de volar,,se hace de noche,,por que se va el dia,,,
85,86,m,porque no le encuentro sentido,,que es fastidioso,,una cabeza,,que es de alto valor,,son como de humo y estan conformadaas de agua evaporada,,algo asi,,si algo asi,,creo que si,,"sol,vacaciones y muchisisimo calor",,que los papis reyes estan por llegar,,que talvez perdio las piernas y le ayan reconstruido con unas piernas de metal,,si por lo que dije anteriormente,,que puedes hacer un sobre de papel,,shiiii,,nose,,NS,,que el carbon esta caliente,,si,,no,,porque no,,que es millonario,,yes,,que la cebolla esta por llegar,,porque quien sabe,,que una ave vuela,,que si,,que el cielo se obscurese,,porque la ciencia lo demuestra,,,
86,87,m,no se entine la palabra o se relaciona,,una pelota mu enojada,,una pelota que esta llena de problemas,,una pelota de un metal precioso,,nubes deliciosas,,piel de seda se refiere a una piel muy suave y fina,,una mirada muy amenazadora,,ojos cansados,,significa que una temporada acaba y el verano se acerca,,que navidad comienza,,piernas fuertes,,porque si te ejercitas lo logras,,piernas fuertes,,por que siiiiiiiiii,,no se,,nnnnnnoooooossssseeee,,piedra caliente,,si por que se calienta para eso se hizo,,djos cansados,,sor no descansarlos,,no lo se,,nnnnnnnnnnnnnoooooooooosssssssssssseeeeeeeeee,,cebolla,,si por que es algo de la tierra,,que esas aves vuelan,,si porque para so son,,porque anochesio,,por que es la naturaleza,,,
87,88,m,mo le entendi nada,,no see,,ns,,ns,,NS,,muy suave,,NS,,NS,,NS,,NS,,cuando tienes las piernas muy duras,,es posible haciendo ejercicio,,NS,,NS,,NS,,NS,,no se,,no se,,NS,,NS,,NS,,NS,,no se,,no se,,no se,,nose,,NS,,NS,,,
88,89,m,no tiene sentido,,que es muy platicon,,la cabeza,,ns,,blancas,,gruesa,,figa mente,,brillantes,,tragedias y muchas cosas mas,,dia de felises fiestas,,pierna dura,,no,,mandar un recado,,no,,todos lo meses de el ano de zacateacas,,si,,que el carbon esta caliente,,si,,que tu ojo lo tienes mal,,si,,que tu calsetin esta bonito,,si,,NS,,no,,que las aves buelan,,si,,que se esta asiendo noche,,si,,,
89,90,m,una pelota no habla,,que es muy berrinchudo,,mi hermano,,que tiene un significado para ti,,blancas,,de color cremita,,pude ser de diferente sentidos,,puede ser de diferentes colores,,con mucho sol,,que ya llego los frentes frios,,que no te pasa nada en las piernas,,porque es muy dificil,,NS,,NS,,NS,,pues porque esta liso,,que estas enojados,,si porque con que haces la carne asada,,que no te llevas bien,,porque se siente,,NS,,seria muy dificil,,NS,,NS,,NS,,porque tienen alas,,que es ora de dormir,,NS,,,
90,91,m,por q no tiene sentido en nada,,mi hermanito es un nino de gritos,,un perro,,mi mama es muy baliosa,,blancas,,como amarillosa,,en nojada,,amarillos,,q baser mucho calor,,q es una noche de conbibir en familia,,q ocurrio un accidente y te q daste sin pies,,por q tepueden poner unas de asero,,un sobre echo de oja,,por q en cualquier lugar benden,,q es un calendario e cho de sacate,,por q no es pocible,,una madera q esta q mada,,por q lo ebisto,,cuando tomas mucho y tus ojos se ponen amarillos,,lo e bisto,,calseta dela buena suerte,,pues nose creo q si,,la temporada de la sebollas,,por q si,,q tirnen alas y pueden bolar,,por q si,,q lanoche viene,,por q si,,,
91,92,m,pz xk k canta bonito,,xk su hermano simpre grita,,una pelota de tenis,,es una pelota de plata muy bonita,,cuando la leche se echa a perder y blota y esas son las nubes de leche ..............,,pz seda aqui muy chida,,cuando te ven como diciendote muchas cosas,,cuando caes en la amargado y eres biem amargado,,biene olaf y las mariposas y tambien las vacasiones,,biene santa el cual nunca te trae nada y te reunes con tu famila,,que te mocharon las patas y te las ponen de acero,,xk yo lo e visto jajajajajaj,,que hay sobres de papel,,xk son de papel y hay mucho papel,,no se,,la vdd creo k si,,k el carbon esta prendido,,si,,k eres muy amargado,,si,,k las calcetas son de plata,,si,,k las cebollas caminan,,si,,k tienen alas y pueden volar,,si,,k la noche acaba de llegar,,si,,,
92,93,m,por que las pelotas no cantan,,que su hermano es muy gordo y grita mucho,,muchos pelos enrrollados,,una pelota de plata,,como agua,,muy suave,,muy apasionada,,tristes,,ya va a comenzar,,que ya comenso la navidad,,tener piernas muy fuertes,,por que si vas a hacer ejercicio se te ponen las piernas fuertes,,una hoja doblada en barias partes,,por que ya los e hecho antes,,un calendario hecho con zacate,,por que el zacate es muy dificil de manejar,,un carbon muy caliente,,por que el carbon se prende y se pone ardiente,,unos ojos que saben amargos,,por que no creo que alguien pruebe los ojos para saber si son amargos,,una calceta hecha con plata,,por que la gente millonaria tienes las posibilidades de conseguirla,,que la cebolla llega a algun lugar,,por que no le encuentro sentido,,que la ave llamada gaviota vuela,,por que tienen alas y son aves,,que se hace noche,,por que siempre se tiene que hacer noche,,,
93,94,m,por que las pelotas no hablan,,mi hermano es muy griton,,un perrito,,una pelota muy pesada,,no tienen forma geometrica,,es un tipo de tela,,una vista de conquista,,una vista de desagrado,,que ya va se verano,,que es navidad,,tener los pies muy fuertes,,todo se puede en esta vida,,u,,por que es para enviar cartas,,NS,,puede acceder a cualquier calendario,,el carbon esta caliente,,por que solo se calienta el carbon,,ver algo que no te gusta,,por las expresiones de cada uno,,las calcetas de un material duro,,te doleria los pies,,que la cebolla esta andando,,por que las cebollas no caminan,,un tipo de ave vuela,,si por que las aves y especificamente la gaviota vuelan,,que ya se hacerca la noche,,por que se esta haciendo de noche,,,
94,95,m,porque las pelotas no cantan,,que es alguien muy griton,,un perro pequeno,,podria dar una referencia a la luna,,de vapor,,de celulas,,furiosa,,amargos,,se avecina,,que la festividad esta ocurriendo,,es una referencia a decir que tiene unas piernas muy fuertes y duras,,en el sentido literal serian unas protesis echas de acero,,que algo esta sobre el papel,,porque puedes poner algo sobre un papel,,un calendario echo de zacate,,porque alguien puede construirlo,,que el carbon esta en llamas,,porque el carbon si puede estar en llamas,,mirada de odio o enojo,,porque es una referencia a una mirada de odio,,una calceta de plata,,porque alguien puede tejer con hilos de plata una calceta,,una cebolla que llego a algun lugar,,porque no se mueve sola,,un ave que vuela,,si es posible debido a que esta especie tiene la capacidad de volar,,que ya se esta haciendo de noche,,porque es un ciclo,,,
95,96,m,no te dise datos mas concretos,,el hermano es muy inquieto,,una pelota fantastica,,sentido de oro,,blancas,,fragil,,de fuego,,llorosos,,se acerca,,es navidad,,cualquier persona esta dispuesta a cualquier tipo de fuerza,,todos podemos ser fuertes pero no podemos exedernos,,ser debil,,las personas podemos llegar a ser grandes,,tener una buena memoria,,podemos recordar cosas,,enfadarse,,todos poseemos la cualidad de enfadarnos,,sentimientos,,todos podemos expresar sentimientos,,ser rapido,,podemos desarrollar varias cosas de una manera rapida,,discriminacion,,hay personas que pueden abusar de otras,,libertad,,podemos ser libres todos,,el tiempo se acaba,,todo tiene un fin,,,
96,97,m,no le encuentro sentido ala frase,,porque los ninos son muy escandalosos,,un animal,,pues la luna brilla como plata,,fragil y delicada,,flores de un color extravagante,,sin expresar los sentimientos que sienten hacia los demas,,una sonrisa con poco sentimientos,,pues tiene que pasar varios sucesos que tendran mucho que ver con el sigiente ano que siga,,que el tiempo pasa demasiado rapido y no se puede detener,,si seria una mirada dulce y calida que seria muy satisfactorio de ver,,buen si es posible literalmente solo haci,,pues es una frase muy utilizada,,si es posible literalmente hablando,,no lo entiendo,,no le encuentro sentido ala frase,,comida que le sobra la sal,,si porque a muchas personas se les pasa la sal pero literalmente mo le encuentro,,abrazos calidos que dan un placer enorme,,porque es una expresion muy utilizada que le encuentro mucho sentido,,no le entiendo ala frase,,no le entiendo,,no entiendo lo que quiera decir,,no le entiendo ala frase,,que la vida pasa muy rapido,,pues tiene mucho sentido,,pasa muy rapido el tiempo,,pues si la vida pasa muy rapido y el tiempo corre,,,
97,98,m,"la poesia va en modo metaforico donde relata una historia , un mensaje o una forma de ver algo",,la forma de expresar a un ser por medio de palabras metaforicas,,una pelota de fotball,,es una relevancia un tanto romantica al expresar que es la un objeto preciado para mi,,es parecido con lo que me limpio despues de ir al bano,,"las flores de oro son iguales a el rocio de una rosa, ?que es? y ?que no es una flor de oro? si lo tengo delante de mi leyendo esta frase de amor que han pasado",,"son como el mio, arduamente intenso y sonrojadamente destenso",,"y tu me lo preguntas, con la sonrisa de mil anos luz que me has dado al besar tal lozana boca mia",,"los dias son intensos que ocurren con los dias? miles de preguntas y cientos de respuestas albergan las calles de la soledad, albergan delante mio de la sinofena tercera mia ,dejad las preguntas para despues. y mirad los dias y anos de la pesadumbre pasar lentamente ya pues no de pude arreglar ni cambiar tal vida miserable . autor marco antonio gutierrez leon",,el tiempo pasa inesperadamente rapido,,y?tu me lo preguntas?con tan solemnes ojos brillantes como el sol y tan dulces como la miel,,sonando todo se puede amor mio,,un collar lugoso,,por que de acuerdo a la ciencia e inteligencia del ser humano estos inventos u objetos ya son existentes,,NS,,por que yo quiero =o,,comida mal hecha en terminos 100tificos,,esta pregunta la hizo una persona del kinder?o que,,un abrazo dice mas que mas mil palabras,,por que los he probado,,los lapices sin sabor no son mas que lapices ordinarios en cambio el lapiz del sabor solo se muestran ante verdaderos escritores y a personas cultas del arte,,todo es posible,,NS,,por simple ogica no hayo el sentido de la frase,,un viaje del tren,,logica,,el tiempo de los dias es tan rapido,,todo es posible si tu crees,,,
98,99,m,por que una pelota no puede cantar,,que su hermano es una persona que grita mucho,,una bola de pelos de gatos,,una pelota muy costosa,,una piel que primero fue liza y se puede arrugar,,unas flores de oro serian muy costosas o unas flores que quieren muchos,,corazones que no sienten nada,,una sonrisa sincera,,que los dias se hacen muy largos,,que un segundo es muy rapido,,que tiene unos ojos bonitos,,que una persona puede os ojos de ese color,,que es un collar muy lujoso,,por que existen los collares de perlas,,que es una escoba muy fragil,,por que si hubiera escobas de cristal se romperian muy facil,,que es una comida con mucha sal,,por que a cualquier persona le puede pasar,,que es un abrazo sin fuerza,,si por que hay personas alas que no les gusta que las abrasen fuerte,,que no tiene color,,por que un lapiz habese solo tiene un color,,que se acerca mucha calor,,por que solo es una expresion,,que van de paseo,,por que es un metodo de transporte,,que los dias se van muy rapido,,por que habeses un dia puede ser muy lento o muy rapido,,,
99,100,m,por que no tiene considencia ni frace que combine,,por que grita mucho y salta mucho,,el perro o caballo,,por que es una pelota de plata y no rebota,,de papel,,de oro,,frios,,tibias,,va muy lento,,que van muy rapido y n o se puede detener el tiempo,,que m is ojos o sus ojos son muy lindos,,po que puede ver mucha jeto con ojos color miel o por que,,que tiene un collar de perlas o va a tener,,por que hay m uchas personas que los usan,,que tiene una escoba de cristal,,por que tienes que tener mucho dinero o algo asi,,que la comida esta salada,,por que si hay muchas comidas saladas,,que dan muchos abrazos suaves,,por que si hay muchas personas que dan muchos abrazos suaves,,que los lapizes no tiene sabor,,pues la verdad no tiene sabor,,que un horno se te acerca,,no por que los hornos no se mueven,,que el tren va a alguna parte,,si por que heyos te transportan,,que los dias pasan,,por que eso lo hacemos diario,,,
100,101,m,"por que las pelotas no cantan, puesto que no es un ser vivo o tal vez no tenga algo anadido que pueda realizar el canto.",,tal vez por que es algo griton y molesto,,tal vez sea un animal con pelos o simplemente una pelota peluda,,tal vez sea por su color,,es una piel muy delgada que es muy propensa a ser rota o danada,,serian flores hechas de oro,,un corazon desolado o solitario,,una sonrisa tal vez calida o sincera,,que se hace muy eterno o aburrido,,"la verdad me confunde y me hace dudar...
:",,"ojos hechos de esa sustancia(miel)...
o probablemente sean ojos de color miel",,"si: pues serian de ese color los ojos
no: por que no pueden estar hechos exactamente de miel",,un collar hecho con perlas,,la verdad creo que si es posible... ya que existen los collares de perlas y son utilizados para lucir a su portador(a),,una escoba hecha a base de cristal,,"si: pudiera ser una escultura o un adorno
no: por que no se podria utilizar para labores domesticas o algo asi",,que la comida esta salada,,yo creo que nada mas es un si... ya que se le puede anadir un exceso de sal,,un abraso liviano o tierno,,"si: por que seria un abrazo tierno
no: no dice exactamente como seria el abrazo",,que el lapiz no tiene sabor,,por que los lapices no tienen sabor,,que los hornos se acercan,,no creo que sea posible por que no tienen ni vida ni voluntad propia,,que el tren esta viajando :v,,si es posible por que es un medio de transporte,,que los dias avanzan,,por que ocurre simplemente,,,
101,102,m,por que el grita,,significa que reclama o llora mucho,,un perro,,por que una moneda tiene forma de circulo y estan hechos de plata,,debil,,brillantes,,que no sienten nada,,que es timid@,,que va lento,,que el tiempo pasa rapido,,el color de ojos,,por que es figurativo,,que valen mucho,,por que se consiguen en el mar,,escobas delicadas,,por que se romperian rapido,,que es muy agria,,por la textura,,que son mentira,,por que se siente de una manera,,que no tiene tinta,,por que se puede crear nuevas cosas,,que se calientan,,no por que no caminan,,que trabaja mucho,,para eso sirven los trenes,,que se van rapido las horas,,por que perdemos el tiempo,,,
102,103,m,"porque dice que la mama es una pelota que canta, eso significa que a su mama le gusta cantar. la palabra pelota sustituye a un verbo que puede ser gustar por eso mama es una pelota que canta",,que el hermanito grite mucho,,mi tio,,que esa persona es muy valiosa por eso es la pelota de plata :v,,sensible,,hermosas y delicadas,,"son delicados, pero especialmente es un lugar donde todos tus sentimientos estan y sabes que hacer y como hacerlo",,es la puerta hacia el alma,,"que cuando no hacemos nada productivo o de provecho, el tiemo es lento y juega en nuestra contra",,que el tiempo pasa muy rapido sin darnos cuenta de eso,,que tus ojos son dulces y de color miel,,porque hay muchos ojos de color miel y que son tan bonitos que te recuerdan la dulzura de la misma miel,,que tu eres una persona con buena econimia y puedes tener ese tipo de arreglos,,porque tan solo en la actualidad hay muchos collares de perlas que hace verse mejor a las mujeres,,que puede haber escobas bonitas pero se romperian con una pasada,,porque una escoba de cristal se romperia al mometo de darle su uso,,si hay muchos tipos de comida en el que la comida es salada,,porque ha tipos de comida en la cual tal vez te pases de sal xd,,que no importa como des el abrazo el valor no cambia,,porque tu mides la fuerza con la que das el abrazo,,que un lapiz puede tener sabor,,porque un lapiz es amdera y carbon y ninguno de esos materiales tiene sabor,,que el horno puede caminar,,porque un horno no tienes piernas,,que el tren viaja cuando quiere,,porque el uso del tren es viajar a lugares lejanos o dificiles de ir,,es una metafora de que el tiempo pasa rapidamente,,porque un dia no tiene vida propia,,,
103,104,m,porque solo es para gnte de mente abierta,,que se unde en el llanto,,mis celos por esa morrita,,mis gata es plateada,,de papel xdxdxd tan fragil como mi ser,,las girasoles son amarillas eso podria seeruna referencia,,no lo se nunca los he visto,,sonrisa ferrmosaaa,,que los dias y meses pasan muy lento ya ni yo la olvide tan rapido,,porque pasan muy pinshe rapido,,ojos cafe claro,,por que los ojos pueden ser cafe asi clarito,,que traes un collar bien vrrghas,,por que son cosas que las almejas hacen iiioo digo jsjsjsj,,que estan prras,,si es posible pero serian iwal de fragiles que mi corazon,,por que si,,por que se pasan de vrrghas con la salesita,,un abarazo de carino,,por que es un abrazo que t gusta,,que pinta bin qlero,,por que todo se puede si tu lo imaginas,,...,,...,,que va de un lado a otro,,por que en ellos viajan personas y ellos iwal prro,,por que aveces van bien pidora,,que van rapido chingao,,,
104,105,m,porque por mas que intento comprender el poema no logro averiguar que frase va en el parrafo,,que su hermano grita mucho todo el tiempo,,un peluche,,bueno puse que el es una pelota de plata porque fue lo mas coherente que se me ocurrio poner,,pues es como piel xdxdxd,,pues cuando se lo suficientemente millonario para banar flores en oro volvere a aser la encuesta,,como mi ex no siente nada por nada ni nadie,,pues en la persona correcta puede ser calida y hermosa,,que el tiempo pasa demasiado lento,,que el tiempo avanza muy rapido,,que sus ojos son hermosos,,por que hay personas que sus ojos son hermosos,,que su collar es de perlas finas,,por que se puede comprar un collar asi,,que las brujas pueden volar,,que por que una escoba de cristal se romperia muy facil,,pues que no se puede comer xdxdxd,,que una comida no sabe bien,,que hay abrazos que son lindos,,por que los abrazos pueden ser diferentes,,que no saben a nada,,por que no saben a nada y punto xdxdx :v,,que se acercan,,que no porque no pueden caminar,,que se mueve,,porque se mueven,,que se pasan rapido,,que el tiempo corre,,,
105,106,m,las pelotas no cantan,,que su hermanito grita mucho,,cualquier el animal,,por que es dura de liviar,,suave,,relusientes,,helados,,hermosa y tibia,,va lento,,que todo va rapido,,ojos amarillos,,por que cualquier persona puede tener ojos amarillos,,un cuello blanco como las perlas :v?,,por que podrias tener un cuello blanco,,que las escobas son muy frajiles :v,,por que se romperian y no serian negosio,,que la comida esta muy fuerte xd,,por que le pueden poner demasiada sal ala comida,,que abraza muy suave,,por que una persona te puede hbrazar suave :v,,que no tiene sabor la madera,,por que la madera no tendra sabor,,que hace mas calor,,no es posible ya que no se pueden mover los ornos,,que se esta moviendo,,si por que el tren debe de estar en movimiento constante,,que los dias se van demasiado rapido,,si por que te sientes comodo que se va el tiempo,,,
106,107,m,cundo se desinflan,,poequ es bien griton,,un gato,,que esta echa de plata,,suabe,,porque les callo pintura,,que estan en el polo,,es bien timida,,porque el gobierno no nos da nuetros in puesto,,porque las noches son rapidas,,que no es posible,,porque no existe,,que si se pueden aser,,para que los ricos se vean bien malotes,,que ni existen,,porque se rompen,,que se paso de sal,,prque se puede distraer,,que no te abraza muy fuerte,,porque puede estar muy fuerte o muy debil,,que un lapiz no es de sabor,,porque te lo comerias,,que no tienen pies,,porque no tienen alma,,que puede moberse de un lugar a otro,,si es posible porque te puede trasnportar de un lugar a otro,,porque las noches son muy largas,,porque duermes muy poco,,,
107,108,m,por que si,,por que siempre grita,,mi perro,,que soy muy brillante,,es delgada,,brillantes,,cuando asen un transplante de corazon y lo ponen en una caja con hielos,,cuando te mojas los labios,,se le hiso tarde,,que se te va muy rapido el tiempo,,significa que no por que no se me van a meter las abejas a la cabesa y regeneren otros ojos de miel,,que no es pocible,,que si hay collares de perlas,,po que si,,significa que se rromperia cuando golpeas al gato,,que pooooooor que nooooo,,significa que si le echas sal se ase salada supongo,,por que si le eschas sal se ase salada,,por que te abrasan suabesito,,si,,significa que sabe a madera,,si,,significa que no se asercan por que no tienen pies,,no,,significa que abansa,,si,,no por que no tienen pies,,no,,,
108,109,m,nomas,,por que grita mucho,,una arana,,tus hojos son una pelota de plata,,con celulas,,flores amrillas,,los que no tienen sentimientos,,las calientes,,"es muy largo , son 365 dias cada ano :v",,"son muy rapidos , es como si fuera un segudo",,hojos color miel,,por que los e visto,,un collar de perlas,,por que las recolectan y las unen a un hilo,,una escoba de cristal,,"por que no serviria , se reomperia",,que se es paso de sal,,por que se pasan o no funciona bien su paladar,,que te abrasan sin apretarte,,por que calculann la fuerza,,un lapiz normal,,por que la madera tiene sabor y por eso no es posible hacer un lapiz sin sabor,,un horno caminando,,por que no tienen pies,,un tren viajando,,por que tiene ruedas,,un dia corriendo,,"por que no tienen pies , solo pasan",,,
109,110,m,no canta,,por que llora mucho,,mi jamster,,las plantas son pelotas,,es del gadita,,son de color amarillas,,rojos,,es muy grande la sonrisa,,por el camio climatico,,que el tiempo se va rapido,,puede tener ojos de color pero de miel no,,por los ojos no pueden ser de color miel,,puedes traer collar de perlas,,por que puedes usar un collar de perlas,,que no ay,,por que ay puras de madera,,se te pasa la sal,,por que se te pasa la sal,,como site acarisian,,depende de tus fuersas,,si,,ay puros de madera,,no,,no puede ser posible,,si se puede,,lleva cosas de fabricas,,no corren,,por que no,,,
