,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
69,70,m,si. pelota en movimiento,,que mi hermano grita mucho,,un animal con mucho fuego,,pelota dura o inmovil ,,es protectora de algun rasguño. quemadura. etc,,lindas. naturales. ayudan a inyectar,,el corazon nos da vida y es muy importate ,,alegre bonita amistosa ,,es año es un tiempo con 12 meses,,el tiempo  es movido,,ojos amarillos y lindos,,si porque puedes tener ojos asi,,collares hermosos,,si porque hay gente que usa collares asi ,,escobas limpias,,no porque no he visto escobas limpias ,,comida con sal ,,si existe comida salada,,abrazos dulces,,hay abrazos suaves a dulces,,lapiz que no raya,,no porque se le puede sacar punta,,hornos rapidos,,los hornos son estables ,,tren en movimiento ,,si porque los trenes viajan ,,tiempo  rapido,,los dias pasan rapido ,,,
70,71,m,no. porque las pelotas no cantan ,,que mi hermano es griton,,muchos pelos. porque una pelota es como mucho,,porque de las minas se extraen minerales como la plata,,de zacate ,,de perlas,,dulce ,,de hielo,,quedo atras,,que los tiempos seran mejores ,,una estrella bonita,,porque como es muy bonita se puede decir que es de cristal ,,un vestido hecho de tela,,porque los vestidos son de tela ,,zapatos hermosos,,porque algo hermoso es como miel. algo dulce,,una escultura echa de piedra,,porque las esculturas estan echas de piedra,,un alma mala ,,porque el hierro es duro como piedra y lo duro es como que no siente ,,una banqueta que abriga ,,porque abrigadora es como que calienta ,,que la silla esta ahi,,"porque ""ya llego"" es que ya esta ahi",,que los atletas pueden correr,,porque los atletas si corren ,,que el tiempo se acaba rapido,,pues porque alcanzar es como rapido ,,,
71,72,m,si. porque es como si dijeras que alguien que canta,,porque se expresa de manera en la que es como llora mucho,,no lo se es como si fuera de que el balon esta duro,,como si fuera muy especial para el,,como enrredado,,blancos. blancos como joyas ,,linda. tierna y bonita,,congelada como si hubiera comido mucho helado ,,se desvaneceria como la noche,,que si te va mal luego llegaran dias buenos,,NN,,??,,algo tejido para que alguien lo use ,,porque sirve como atuendo para ir a fiestas ,,algo para expresar o decir que tus zapatos estan padres ,,porque esto sirve para expresarte ,,pueden construir cosas de piedra,,que te sirve para crear entretenerte con algo ,,es una forma de decir que no tan enefermos,,profundo como que tu cuerpo es muy sano ,,cuando una banqueta puede estar hirviendo ,,porque puede estar calida o muy caliente ,,NN,,NN,,que correr te hace bien en tu salud ,,porque correr es muy sano para nuestro cuerpo ,,porque el tiempo es infinito ,,porque el tiempo nunca se acaba porque es infinito ,,,
72,73,m,no. porque las pelotas no pueden cantar,,que es gordo y grita mucho,,un perro gordo porque la pelota de pelos podria ser un perro gordo,,es como una bola de plata,,Muy humedo,,muy blancos ,,muy buena,,¿muy fingida?,,¿nada?,,que estan pasando por un mal tiempo pero mejorara,,como que las estrellas brillan mucho ,,porque dise que esta echo de cristal y el cristal brilla con la luz ,,que la ropa esta muy suabe ,,por que el terciopelo es suabe ,,que estan muy pegajosos ,,por que le sudan los pies,,es como la figura de una persona pero en piedra,,por que lo dice en el nombre (escultura de piedra) ,,que no tiene sentimientos,,por que el hielo es frio y puede que una persona no tenga sentimientos,,que una banqueta es comoda,,porque abrigador es como decir comodo ,,que llego la hora de sentarse,,porque es la hora de sentarse ,,que los atletas corren ,,los atletas hacen ese deporte,,que el tiempo es limitado ,,abeses el tiempo no te alcansa ,,,
73,74,m,si. porque habla mucho,,que su hermano grita mucho,,perro porque tiene mucho pelo,,que es bonita ,,puntiagudo,,muy blancos ,,muy buena,,muy limpia y blanca,,se fue ,,que podran estar mejor en un tiempo ,,porque se ven mucho ,,porque son muy brillantes ,,que se hacen con tela ,,porque aci son,,0,,no tiene sentido y no entendi ,,que son de piedra,,por que si hay ,,muy valiente y fuerte,,porque hay personas valientes y fuertes ,,que te protege,,porque los carros luego pasan sobre ella ,,que la silla a estado en casa ,,porque no llega ,,que son rapidos ,,por que si hay ,,que el tiempo es suficiente ,,por que casi no hay tiempo para todo ,,,
74,75,m,no. porque las pelotas no cantan,,que grita mucho,,gato porque tiene mucho pelo,,una planta circular,,lisa,,doradas,,normales solo que la gente es mala,,agradable,,nada solo que piensas que va muy lento ,,que el tiempo va muy rapido para ti ,,ojos color miel ,,alguien puede tener ese color de ojos ,,collar de perlas ,,ponen un collar y le ponen perlas ,,escobas fragiles eso creo ,,no existen escobas de cristal y seria imposible barrer ,,algo salado ,,es comida k le ponen sal y es salada,,abrazo suave ,,alguien que abrasa suavemente,,que no tiene sabor,,los lapizes no tienen sabor ,,que los hornos se mueven ,,los hornos no se mueven ,,el tren se mueve ,,el tren va a muchas partes ,,los dias pasan ,,que los dias van pasando ,,,
75,76,m,no. porque las pelotas no se mueven ni hablan,,que a cada rato grita,,cuando te enojas mucho,,como si brilla,,que se siente como esponja,,como forma de perlas,,NS,,como hielo por que los dientes esten blancos,,NS,,que el futuro se acerca,,que es una estrella que brilla como cristal ,,lo dice su significado y brilla como estrella ,,0,,0,,0,,0,,como que si hacen la figura en la piedra ,,si tu que algo en uno piedra es escultura en piedra,,0,,0,,0,,0,,0,,0,,que corren en la cancha ,,por que ,,se te paza el tiempo ,,por que hacemos muchas actividades ,,,
76,77,m,no. porque las pelotas no cantan,,que el hermano es una persona gritona,,un perro,,puse la luna porque parece que esta hecha de plata,,rasposo y chino,,brillantes,,cariñosa,,de cristal,,ya paso,,que vendran mejores cosas,,una estrella mas fragil,,porque esta hecha de cristal,,un vestido hecho de terciopelo,,porque esta hecho de terciopelo,,zapatos con un color a miel,,por que parece de miel,,una escultura hecha de piedra,,por que esta hecha de piedra,,una alma poco sensible,,por que es tan fuerte como el hierro,,una banqueta que te calienta,,por que te abriga cuando te sientas,,que alguien ya trajo algo para sentarse,,por que dice que la silla ya llego y esa es para sentarse,,que los atletas corren ,,por que decia que estan corriendo,,que se termina el tiempo,,por que te alcanza asi que se termina,,,
77,78,m,si. porque tal vez se refiere a que rebota,,que mi hermano grita mucho,,WW,,podria ser algo querido. como algo de la suerte,,cabello mal despeinado,,los dientes son relucientes y limpios,,la hermana es muy amable,,que siempre esta sonrriente,,que se paso muy rapido,,que se puede acercar un dia festivo,,algo que es muy bonito,,por que se me ace algo como que es muy bonito,,un vestido,,porque su nombre lo dice,,zapatos muy elegantes,,por que cuando dice de miel se me ace algo elegante,,una escultura tallada a mano,,por que su nombre lo dice,,persona muy solitaria,,cuando dice de hierro se me olle como una caja fuerte ,,comida muy caliente,,cuando dice abrigadora suena a muy caliente,,que trajeron una silla,,su nombre lo dice,,que corren unos atletas,,su nombre lo dice,,que el tiempo es muy rapido ,,0,,,
78,79,m,si. porque es redonda y circular,,que grita mucho,,perro porque tiene pelos,,una moneda,,suavecito,,duros u fuertes,,no tengo hermana,,NN,,nada solo se hace de dia y ya,,que si tendre tiempos mejores que estos,,cristales en forma de estrella,,si por que son cristeles,,vestidos con hilos,,si por que si existe la tela,,zapatos hechos de miel ,,0,,una piedra tradicional,,una cultura tradicional,,un muneco de hierro,,no es posible por que le hierro es muy fuerte,,banqueta con un sueter,,no es posible,,una silla con pies,,por que no tiene pies para correr,,0,,por que tienen pies,,0,,por que corre el tiempo,,,
79,80,m,si. porque se refiere a objetos,,que mi hermano grita mucho,,un monton de pelos,,NS,,cabello duro,,dientes brillosos,,mi hermana es buena,,sonrisa fria,,se ve cuando sale el sol,,vendran dias mejores,,estrellas como cristales,,si por que brillan como cristal,,un vestido hecho de tela,,porque se puede hacer un vestido de tela,,zapatos como la miel,,no es posible hacerlos,,una escultura como de piedra,,un objeto o persona que parece de piedra ,,una alma muy fuerte,,no una alma buena,,una banqueta comoda,,porque no,,la silla llego a la mesa,,0,,los atletas corren ,,0,,el tiempo alcanza,,0,,,
80,81,m,NN,,mas o menos le entendi,,NS,,NS,,El cabello es verde o de paja,,son los dientes que tenemos,,de dulce,,de hielo,,te hace dormir,,vienen tiempos mejores,,0,,no existen,,vestido,,porque si,,0,,no existen,,antigua,,existieron ase muchos anos,,no existe,,0,,0,,algo que le abriga,,0,,no existe,,por que existe,,0,,corre el tiempo,,0,,,
81,82,m,no. porque las pelotas no cantan,,que es muy enojon,,mi gato porque tiene pelos,,le puse pez porque hay unos que parecen plata,,bonito de diferentes colores,,bonitos y son blancos o amarillos,,Es muy inteligente y responsable,,muy hermosa y se te hacen hoyitos,,se fue a otro lado ,,que estas en un problema,,que tienen cristal,,por que nunca va a existir,,que hagan vestidos con tela,,por que ya existieron,,que tienen miel,,nunca a existido,,una figura de piedra,,porque ya los he visto,,que alma es de hierro,,no la tenemos nosotros,,que este cubrida,,las banquetas no han tenido eso,,que esta donde te vas a sentar,,en la casa la tenemos,,que corren,,por que los e visto,,que te alcanza,,por que no hay maquina del tiempo,,,
82,83,m,no. porque no rima tanto pelota que canta porque no termina igual,,que su hermano grita mucho,,perros porque tienen mucho pelo,,un anillo de plata,,no tiene sentido,,son muy grandes,,un poco traviesa,,rosa o roja,,se fue el dia,,como si todo le saliera mal,,por que cuando empiezan parpadean,,0,,por que la ropa es de tela,,0,,0,,por que eso es imposible,,si por que lo aprendi,,0,,0,,no encuentro sentido,,0,,no tiene sentido,,0,,no existe,,corren mucho,,0,,0,,por que no tiene sentido,,,
83,84,m,si. quiere decir que su mama es una persona que canta,,que su hermano grita mucho,,la cabeza porque tiene mucho pelo,,una moneda que brilla,,duro,,muy blancos,,linda y tierna,,no sonries,,que la noche ya paso,,que habra mejores momentos,,estrellas muy brillantes,,0,,vestidos suaves,,por que si hay vestidos de tela,,no entiendo,,NN,,personas aburridas,,hay algunas personas aburridas,,un alma muy fuerte,,porque hay personas que tienen alma,,una banqueta que es muy segura,,porque hay calles o banquetas que no son seguras,,NN,,no lo podria explicar,,cuanso estan en una carrera,,por que corren mucho,,tener que aprovechar el tiempo,,por que si no lo aprovechas se te va,,,
84,85,m,no. porque las pelotas no tienen boca,,NS,,un perro porque tienen muchos pelos,,la luna,,Rasposo,,brillantes ,,amable,,congelada como si hubiera comido mucho helado ,,la luna,,que podran ser mejores ,,NN,,no se,,la ropa,,no se ,,no se,,NN,,alguien  muy importante que existio,,NN,,NN,,NN,,NN,,NN,,NN,,NN,,por que a eso se dedican,,NN,,que puede sobrar para lo que sea,,NN,,,
85,86,m,si. porque las mamas luego cantan,,que los bebes lloran,,perro porque es peludo,,porque la moneda es redonda y es de plata,,NS ,,limpios y blancos ,,buena y linda ,,NN ,,-,,pasaran mejores cosas ,,que las estrellas son de cristal,,0,,vestidos echos de tela,,porque si se pueden hacer vestidos de tela,,zapatos hechos de miel ,,no por que se pegaria a la ropa,,escultura echa de piedra,,si se puede hacer una escultura de piedra,,NN,,NN,,NN,,NN,,NN,,NN,,que los atletas pueden correr,,por que todos pueden correr,,que se puede hacer tarde,,por que a todos se le puede hacer tarde,,,
86,87,m,NN,,que mi hermano grita,,que una pelota tiene pelos,,es la pelota de plata,,a veces largo o corto ,,son duros y blancos ,,es como todas las hermanas ,,NN ,,nada ,,que hay mas tiempos mejores ,,que serian estrellas echas de cristal,,por que es imposible se ven con la luz,,es copa pero larga,,ya es posible,,no lo se,,por que vendrian las abejas,,son estatuas echas de piedra,,ya ahi estatuas por todos lados,,NN,,no no es posible,,la banqueta te abrigaria,,por que se ensucia,,NN,,0,,que algunas personas corren mucho,,si es posible,,que el tiempo no espera,,si es posible,,,
87,88,m,si. porque habla de puras pelotas y cuando lo lei si tenia sentido,,que su hermano tiene una cabeza redonda y siempre grita,,NS,,que es una pelota pero esa pelota es de plata,,cuando es largo en las mujeres acen mucho estorbo ,,son dientes duros que estan llenos de perlas ,,mi hermana es dulce ,,la sonrisa es cuando te hacen reir pero en esta ocacion la sonrisa es de hielo ,,la noche se quedo atras ,,que vendran tiempos mejores como no te llevaron al cine y seria que te llevarian otro dia mejor ,,que son estrellas de cristal,,si es posible por que la frase se le entiende y tambien el significado,,son vestidos hechos con tela,,0,,son zapatos hechos de miel,,si es posible por que la frasedice zapatos hechos de miel,,0,,la escultura de piedra no le entiendo,,no significa nada,,esta frase tampoco es posible,,no significa nada,,esta frase tampoco es posible,,tampoco significa nada,,esta frase tampoco es posible,,unos senores corren,,esta frase si es posible,,que el tiempo alcanza,,esta frase tambien es posible,,,
88,89,m,no. porque no tiene sentido,,que grita,,como el zacate,,moneda,,bonito y sedoso ,,limpios y sanos te sirben para masticar ,,bonita como mi mama,,chula y cajuay ,,se quedo atras ,,de que vendran tiempos mejores ,,hacerlo como una escultura,,comoaserla como escultura,,hacer un vestido,,hacerlo con tela,,que no,,esque no es logico,,aserla,,con un artista la ase,,no existe,,no existe,,es imposible,,no se puede hacer,,no se mueven las sillas,,es imposible,,pues si,,siempre corren,,no se puede ,,no alcanza,,,
89,90,m,si. porque su mama canta,,que su hermano grita mucho,,perro o hamster,,la luna es porque no hay pelotas de plata,,limpio suabe ,,limpios blacos sucios etc ,,griton enojon descuidado y miedoso ,,lindo,,-,,-,,que son estrellas ,,no se puede cortar el ,,que es un vestido,,por que si se puede,,son zapatos llenos de miel,,no existe,,es una obra y es una fuente,,no lo veo,,que eres luchador,,por que no soy,,una banqueta,,no existe,,es una frase sin sentido,,no existe,,que los corredores corren,,por que es de verdad,,NN,,es una frase de muerte,,,
90,91,m,no. porque no rima,,que su hermano grita mucho,,una pelota de lana porque tiene forma de pelota y tiene tipo de pelos,,son o pueden ser aretes de plata porque tienen forma de pelota,,como el pasto ,,como los pedacitos de elote ,,flaco y cariñoso ,,como la luna brillando ,,NS ,,que en mi futuro habra cosas mejores ,,estrellas muy brillantes,,por que no las he visto,,vestidos hechos con tela,,por que ya los he visto,,zapatos hechos de miel ,,por que esos zapatos no existen y no loe he visto,,escultura hecha de piedra,,por que ya los vi,,alma hecha de hierro,,por que no existe y no la he visto,,banqueta que abriga,,por que no la he visto,,silla que llego sola,,por que no la he visto,,atletas corriendo,,por que ya los vi,,que el tiempo nos alcanza,,por que cuando hago algo se me va el tiempo muy rapido,,,
91,92,m,no. porque las pelotas no cantan,,mi  hermano bebe chilla y grita mucho,,el gato se hace rollo de pelos,,moneda redonda de plata,,de estambre azul ,,perlas redondas ,,muy cariñosa. adorable y dulce ,,muy sonriente ,,ya amanesio y es de dia ,,el futuro tuyo sera mejor que hoy en dia ,,estrella echa de cristal,,se pueden crear las estrellas de cristal,,los vestidos son de tela,,estan hechas e pura tela teloso,,no hay eso ,,no existen,,si hay de piedra,,algunas estan echas de pura piedra,,no existe,,no hay esas cosas posible,,hay banquetas,,hay banquetas en todas las calle,,no se mueven las sillas,,NN,,si corren,,son atletas,,si alcansa,,hay tiempo sobrante,,,
92,93,m,no. porque las pelotas no hablan,,que mi hermano siempre grita,,NS,,NS,,es redondo y duro ,,NS,,es amable ,,NN ,,NS ,,0,,una estrella de vidrio,,no se puede cortar el ,,que es un vestido hecho de tela,,no se ,,no se,,NN,,una escultura echa de piedra,,NN,,una alma fuerte,,NN,,NN,,0,,NN,,NN,,NN,,NN,,que tienes tiempo,,NN,,,
93,94,m,no. porque las pelotas rebotan,,que tu hermano cada vez que salta grita,,ardilla ,,pelota de boliche,,de vapor ,,suave,,normal ,,normales ,,se caen las hojas ,,que la navidad es hoy ,,que tienes unas piernas duras,,por que las piernas no son tan duras,,que hagas un sobre de papel,,si por que un sobre siempre es de papel,,no se pero no creo que existan,,NN,,cuando el carbon quema,,si el carbon siempre prende,,como cuando te cae limon,,te puede caer limon,,no se pero no creo que existan,,las calcetas no son de plata,,la cebolla puede llegar a tus ojos ,,0,,no sabira decirte,,todos los animales que sean aves vuelan,,no sabria decirte,,pero cuando el sol oscurece llega la noche,,,
94,95,m,no. porque las pelotas no cantan,,que grita mucho,,un perro,,pelota brillante,,nubes blancas ,,piel suave ,,mirada enojada ,,ojos berdes ,,se caen las oja de los arboles ,,cae nieve,,piernas fuertes,,por que nadie tiene piernas de acer,,sobre para cartas,,por que si existen,,pasto seco,,por que no hay calendario de pasto seco,,carbon quemado,,por que al carbon se bende en tiendas,,ojos verdes,,por que hay personas con ojos verdes,,calceta echa de plata,,no hay calcetas de plata,,viene la cebolla,,por que las cebollas no caminana o vuelan,,que vuelan las gaviotas,,porque si vuelan,,que se hizo de noche,,porque esta el dia y la noche,,,
95,96,m,no. porque las pelotas no cantan,,mi hermano grita mucho,,mi axila porque tiene pelos,,el es blanco,,son gas ,,de carne ,,es vista ,,blancos y de otros colores ,,viene,,es navidad ,,pies duros,,no por que no hay pies que sean de grava,,son donde guardas una carta de papel,,si por que yo lo he visto,,calendario de pasto,,no por que no hay calendarios de pasto,,carbon en fuego,,si por que el carbon prende,,NN,,NN,,NN,,NN,,NN,,NN,,que las aves vuelan,,si por que las aves vuelan,,esta noche,,si hay noche,,,
96,97,m,no. porque las pelotas no cantan,,que mi hermanito siempre grita y no suelta la pelota,,tiene una pelota de pelos esta bien chida,,que la pelota vale mucho,,son blancas y creo esponjosas ,,es piel que esta seca ,,bonita,,son ojos que no an dormido ,,se caen muchas hojas de los arboles ,,ya es navidad ,,tener musculos en las piernas,,si es posible por que tienen que hacer mucho ejercicio,,es una bola de papel,,si es posible es una bola y la doblas,,calendario de pasto seco,,si es posible por que el apsto lleva mucho tiempo,,carbon,,si por que lo calientan y hay carbon ardiente,,NN,,no es posible por que nunca hay ojos amargos,,no hay calcetas,,no es posible por que nunca hay calcetas de plata,,la cebolla no llega,,no es posible por que la cebolla nunca llega sola,,las gaviotas vuelan,,si es posible por que si vuelan,,si la noche llega,,si es posible la noche llega,,,
97,98,m,no. porque no rima,,que su hermanito grita pelotas pelotas,,una pelota de pelo no se puede porque se desata ,,no se puede porque una pelota de plata no existe.,,blancas ,,caro ,,de colores ,,blancos con negro ,,ocurre mucho calor ,,que la navidad llego ,,que tu pierna sea de acero,,no por que no existe ninguna pierna de acero,,no hay ningun sobre de papel,,por que no existe ningun sobre de papel,,no por que no existe calendario de zacate,,por que no existe ningun calendario de zacate,,si existe por que cuando haces una carne asada,,cuando ases una carne asada,,no existe,,no existe por que no existen ojos amrgos,,no existe ,,no existe calceta de plata,,no existe,,no existe por que la cebolla no llega a ti,,si existe,,si existe por que las gaviotas vuelan,,si existe,,si existe por que la noche llega,,,
98,99,m,no. porque no rima,,que grita mucho,,que esta hecha de pelos,,que esta hecha de plata,,que son blancas y sades a leche ,,que es como las belas ,,que esta enojada la mirada ,,es como un limon ,,que lla mero viene el verano ,,que lla esta la navidad ,,que esta hecha de acero,,por que a los decapitados se la ponen,,como la que le pone la carta,,por que ahi pone la carta,,que esta hecho de pasto,,por que ningun calendario esta hecho de pasto,,que esta caliente el carbon,,por que siempre lo calientan,,como un limon,,por que lo sojos amagos no existen,,que esta hecha de plata,,por que ninguna calceta esta hecha de plata,,que llega al mercado,,por que se la entrega al mercado,,que las gaviotas vuelan,,por que las gaviotas vuelan por los aires,,es que se hace oscuro,,por que se hace de noche,,,
99,100,m,no. porque una pelota no canta ,,circular comelona,,el mundo,,una pelota cuadrada,,gordas con leche y suaves ,,es suave ,,que no le deden de ver a los ojos,,que sea avurido ,,las vacaciones estan serca ,,que la navidad ya llego ,,unas piernas de aro,,porque no pueden ser posibles,,arriba de una hoja,,por que las hojas no son grandes,,un calendario de pasto,,por que las hojas no son grandes,,carbon ardiente,,por que existe el fuego,,ojos con limon,,por que no hay ojos de limon,,no hay plantas en calcetas,,por que no puedes plantarlas en ellas,,no tienen pies,,las cebollas no caminan,,no tienen alas,,por que no hay gatas que vuelen,,la noche llega,,por que ya casi es de noche,,,
100,101,m,no. porque ninguna pelota canta,,su hermano grita,,axila,,puede haber una pelota de beisbol hecha de plata,,blancas ,,suabe ,,fija ,,NN ,,empieza el calor ,,empieza la navidad ,,piernas fuertes,,lo he visto,,un sobre hecho de papel,,los he visto,,calendario de pasto,,no los he visto,,horno caliene,,lo he visto,,persona amarga,,lo he visto,,calceta hecha de plata,,a la plata le puden dar forma de calceta,,la cebolla camina,,las cebollas no tienen pies,,las gaviotas pueden vola,,las gaviotas tienen alas,,ya paso el dia,,se acaban el dia empieza la noche,,,
101,102,m,WW,,(dormido),,(dormido),,(dormido),,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
102,103,m,si. el sol es redondo y con fuego,,que grita demasiado,,NS,,la luna es redonda y de color plata,,suave. limpio y sedoso ,,son cristalinos ,,es alegre triste ,,NN ,,NS ,,que no pierdas la fe ,,estrellas de luz,,se pueden crear en esculruras,,vestidos ,,ya estan creados,,no se ,,NN,,arte,,tembien se pueden crear,,que eres muy fuerte,,hay personas fuertes,,NN,,no se puede hacer,,NN,,NN,,que corren muy rapido,,por que los atletas corren muy rapiso,,NN,,NN,,,
103,104,m,no tiene sentido porque casi no rima,,mi hermana es una pelota de risa,,perro porque tiene mucho pelo,,puede ser mi cabeza y puede ser un planeta,,suabe ,,duros,,bonita,,fea,,salen las estrellas ,,0,,NN,,nunca he visto una estrella de cristal,,NN,,por que si hay vestidos de tela,,no se ,,por que no hay zapatos de miel,,NN,,por que si hay esculturas de piedra,,NN,,por que no hay alma de hierra,,NN,,por que no hay bnquetas,,NN,,NN,,NN,,por que si compiten los atletas,,NN,,por que alguna ves si da tiempo,,,
104,105,m,no. porque las pelotas no cantan,,NS,,NS,,una pelota color plata,,largo corto y de colores ,,blancos brillantes ,,un poco regañona ,,brillante,,se mueve de pocicion con el sol ,,que no pierdas la fe ,,NN,,por que no hay estrellas de cristal,,tela,,todos los vestidos son de tela,,miel,,los zapatos no son de miel,,piedra,,NN,,NN,,NN,,NN,,NN,,no se puede mover,,la silla no corre,,NN,,NN,,se acaba,,se acaba el dia,,,
105,106,m,no. mi mama no canta o tal vez las demas igual no,,que ese hermanito llora mucho y grita mucho,,el coco porque es redondo y circular y ademas tiene pelos,,una moneda porque es de plata y redonda,,de zacate ,,los dientes son de perla ,,mi hermana es dulce ,,la sonrisa es de hielo ,,se quedo atras ,,que en  el futuro puede que sea mejor el mundo ,,estrellas hechas de cristal,,si es posible por que nunca dicen si es del espacioo de fabrica o echo a mano,,un vestido hecho de tela,,por que hay vestidos asi,,zapatos dulces provenientes de abejas,,no por que la miel se caeria y se extenderia en el piso,,escultura echa a mano con herramienta,,por que ya gay esculturas de piedra,,alma dura persona dura,,por que hay personas asi,,no significa nada no tiene sentido,,por que no tiene sentido,,no hay significado,,por que no hay nada de significado,,que personas corren,,por que lo s atletas hacen eso,,que el timepo te alcanza,,por que es como que la hora te alcanza,,,
106,107,m,si. porque tiene muchas rimas,,que es muy gritona,,NS,,no tiene sentido,,como pasto ,,como perlas ,,muy buena ,,NN ,,que la noche no yego ,,que le va a ir vien ,,una estrella de cristal,,por que no puede dar una estrella de cristal,,como ropa normal,,por que yo ya he visto un vestido de tela,,zapatos de miel,,por que no puede ver un zapato de miel,,escultura de piedra,,por que si hay esculturas de piedra,,tu alma es muy fuerte,,por que lo edisto es una pelicula,,que es una banqueta que te abriga,,por que no existe,,NN,,por que una silla no camina,,que corren,,porque yo ya he ido a una carrera,,0,,NN,,,
107,108,m,si. tiene un poco de sentido,,que mi  hermano grita mucho,,NS,,que es muy brillante la pelota,,cabello de zacate ,,sonrisa de hielo ,,mi dulce hermana ,,vendran tiempos mejores ,,dientes de perla ,,la noche que quedo atras ,,estrellas bonitas,,no es posible,,vestido de varias telas,,se pueden tejer,,que no .e suena,,no existe,,varias eculturas de ?iedra,,con un martillo y un palo puedes hacer esculturas,,que eres fuerte,,no es posible,,que esta dura,,no es posible,,que si esta en la slla,,no tiene sentido,,son rapidos,,si es real,,llego o lo haces a tiempo ,,se entiende,,,
108,109,m,no. porque las pelotas no cantan,,que su hermano grita mucho,,NS,,no se me ocurre ninguna,,como pasto. es negro ,,como piedras. son blancos ,,agresiva. tranposa ,,0,,salen la luna y las estrellas ,,que abra tiempos mejores ,,significa escultura,,porque hay estrellas de escultura,,NN,,no se ,,no se ,,NN,,NN,,NN,,NN,,NN,,NN,,no se puede hacer,,NN,,NN,,que corren para  ganar,,por que pueden ganar,,que aun hay tiempo,,por que aun puede haber tiempo de llegar a tiempo a un lugar,,,
109,110,m,si. porque cuando dice la pelota que canta se refiere a sus cabezas,,que su hermano es griton,,el vello porque cuando te lo quitas puedes hacer una pelota de vellos,,que es un arete circular,,es duro,,NS,,vuena y amable ,,NN,,se fue ,,si va a cambiar el futuro ,,estrellas hechas de cristal,,por que si se puede hacer,,vestidos hechos con tela,,por que los he visto que los venden,,no se ,,por que se me hace imposible creer en eso,,una persona de piedra,,por que e visto,,NN,,NN,,NN,,NN,,NN,,NN,,que los atletas estan corriendo,,porque salen en la tele o los ves pasar,,que el tiempo siempre esta con nosotros,,0,,,
110,111,m,no. porque no tiene ningun efecto,,que llora y grita cuando necesita algo,,una pelota que tiene de adorno pelos,,NS,,suabe liso delgado ,,duros blancos lisos ,,grande fuerte amable ,,bonita agradable expresiva ,,NS,,que pasaras mejores momentos que esos ,,brillan bonito,,sino la noche estara totalmente oscura,,suave liso y comodo,,0,,no se ,,0,,bonita grande,,por que he visto esculturas hechas cin piedra,,NN,,0,,NN,,0,,NN,,0,,para ponerse en forma,,si no no estarian en forma,,tener tiempo para alguna actividad,,0,,,
111,112,m,si. es una frase feliz y divertida y alegre,,que es muy divertido y grita mucho,,mi primo es una pelota divertida,,es una pelota muy divertida,,Son muy blancas y bonitas,,es sueve. bonita y alegre,,una mirada muy bonita. clara,,unos ojos que son muy raros ,,que ya va a ser verano,,que ya es la navidad,,que son muy resistentes,,que son muy fuertes y pueden ser fuertes,,es un sobre donde pones cosas,,es donde puedes poner un papel adentro,,es un calendario diferente,,yo creo que es un calendario diferente,,esque es muy fuerte,,es un carbon que puede quemar demasiado,,son unos ojos extanos,,son unos ojos raros y extranos,,es un tipo de calceta extrana,,es un tipo de calceta extrana de colores,,tal ves ya sea un lugar,,ya que se valla puede llegara aun punti,,por que sus plumas no pueden aguntar el aire,,no por que el aire consumo plumas. no puedes,,es es un anochver.,,lanocje siuede lagar ,,,
