ta1,ta2,ta3,ta4s,ta4n,ta5,ta6,ta7
si,no,no,,en la diversi??n en juego puede (hacer mas cosas??) en la pelota,no es una pelota de gritos es namas una pelota para jugar.,"pelota de volleyball, pelota de tennis, baseball, y football",no es una pelota normal de telas de aire
sol,La luna,gato,,"no, porque las pelotas no hablan",que mi hermanito est?! triste :(,puede ser muy suave,porque la plata se parece a la luna
sol,una canica,Gato,,"no, porque las pelotas no pueden cantar y porque no tienen cuerdas vocales",que mi hermano peque??o grita much??simo*,"un perro york o un poodle porque tienen mucho pelo, pero el que mas peludo est?!, es el york.",porque algunas de las canicas est?!n hechas de metal y parecen plata
sol,luna,cabeza,,"no, porque las pelotas no cantan",que mi hermanito grita mucho,un gato,la pelota de plata es la luna  porque es de plata el color de la luna
sol,luna,Gato,,"no, porque las pelotas no cantan",porque su hermano grita mucho o todo el d??a,Una cabeza tiene muchos pelos,Porque la luna se ve como metal
Sol,La Perla,Gato,,"no, porque una pelota se usa para jugar y porque es de plastico",que mi hermano nunca deja de gritar,Una bola de estambre o una cabeza de pelo,Qu?? es una perla que encuentras en el mar
loco,la moneda,papa,,"no,porque las pelotas no hablan y si no hablan no cantan","que llora, que grita","Un perro, los perros tienen mucho pelo en todas partes","Una Moneda, porque las monedas est?!n hechas de plata"
sol,papa,perro,"si, porque si con pelotas se refieren a personas entonces s??, porque las mam?!s siempre cantan ",,que el hermanito beb?? siempre grita,"pap?! (jajajaja) la verdad no s??, solo lo puse porqu?? no pensaba en nada mas","porque mi pap?! es muy bueno y paciente conmigo asi que para m??, el est?! hecho de plata"
aceite,moneda,perro,"si, porque mi mam?! canta",,mi hermano grita mucho,no s??,hay monedas de plata ??no?
Juan,no ,Hermana,,"no, porque las pelotas no cantan",porque todo tiene que ser una pelota,tu porque eres la ??nica que falta,porque las pelotas no son de plata
mango,Mateo,Hermano,,"No, porque las cosas no hablan",que mi hermano grita mucho,Mi gato porque suelta mucho pelo,que es muy brillante
meteoro,canica,gato,,"No, porque las pelotas no cantan",mi ? hermano se la pasa gritando,bola de pelos de los gatos,porque las canicas a veces son de plata
Rafles,Mike,Ramon,"si, porque la tecnolog??a hizo a Sphero una pelota robot que habla y canta",,que los ni??os chicos gritan mucho,la cabeza de? chewbacca,una canica de plata
no,si,mama,,"No, porque dice cosas extra??as",porque es latoso,mi mam?!,no s??
diablo,mi alma,cabeza,,"no, porque la puedes botar, pero no va a cantar","no para de gritar, o sea yo ",la axila,mi alma es de un guerrero
sol,mi papa,perro,,"No, porque las pelotas no hablan*",que mi hermanito grita mucho,un perro gordo,mi pap?! porque es muy bueno conmigo
sol,la luna,papa,,"Imagin??nse una pelota cantar, no es normal",Bueno si es beb?? si y  si no tambi??n? grita y grita,una mascota porque mi mascota es una bola de pelos bueno est?! peluda,Bueno la luna est?! brillante como la plata
